,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
84,414,10001,[0.82949752 0.75108442],[0.89941067 0.8447707 ],[0.74166667 0.76684397],[0.75454545 0.77836879],[0.75151515 0.6214539 ],[0.80909091 0.63475177]
85,414,11001,[0.81576304 0.70590491],[0.88809401 0.7641174 ],[0.78787879 0.65159574],[0.82878788 0.64007092],[0.68712121 0.67109929],[0.78333333 0.7570922 ]
86,414,12001,[0.77950603 0.66096092],[0.85608346 0.69997061],[0.64393939 0.70833333],[0.65151515 0.72163121],[0.6219697  0.56205674],[0.80606061 0.61879433]
87,414,13001,[0.81118816 0.88021599],[0.88303282 0.94894211],[0.73257576 0.67553191],[0.75151515 0.71808511],[0.56590909 0.57180851],[0.74545455 0.83865248]
88,414,14001,[0.86133253 0.68079695],[0.94002106 0.71625111],[0.76287879 0.78900709],[0.79393939 0.76950355],[0.71666667 0.59929078],[0.73484848 0.57801418]
89,414,15001,[0.78772973 0.86623377],[0.87359631 0.93470418],[0.72045455 0.80939716],[0.73030303 0.82092199],[0.74318182 0.61170213],[0.81212121 0.67375887]
90,475,1001,[0.83884977 0.84501429],[0.91330986 0.91534741],[0.73106061 0.85106383],[0.69545455 0.88652482],[0.7530303  0.69326241],[0.80757576 0.76241135]
91,475,2001,[0.80569799 0.74465445],[0.88585551 0.81124202],[0.73030303 0.71453901],[0.76060606 0.69148936],[0.71969697 0.63120567],[0.71060606 0.7570922 ]
92,475,3001,[0.78109181 0.64996182],[0.84995124 0.70812197],[0.66439394 0.75620567],[0.66060606 0.74113475],[0.62045455 0.55585106],[0.79848485 0.57624113]
93,475,4001,[0.77044069 0.6689204 ],[0.84485865 0.72377968],[0.69545455 0.54255319],[0.71666667 0.39184397],[0.48409091 0.53191489],[0.53939394 0.63297872]
94,475,5001,[0.8426298  0.74018164],[0.92195584 0.81746032],[0.76363636 0.62056738],[0.78787879 0.56028369],[0.65227273 0.6214539 ],[0.7030303  0.67375887]
95,475,6001,[0.733659   0.66842105],[0.80691057 0.71091413],[0.70530303 0.61702128],[0.71515152 0.54964539],[0.70530303 0.58510638],[0.82121212 0.76241135]
96,475,7001,[0.78762198 0.82096493],[0.86732502 0.90121639],[0.70909091 0.75531915],[0.67878788 0.7358156 ],[0.67575758 0.63829787],[0.68636364 0.71985816]
97,475,8001,[0.85875168 0.70975836],[0.92499884 0.74614084],[0.8530303  0.64095745],[0.89393939 0.56737589],[0.69772727 0.63120567],[0.73181818 0.7606383 ]
98,475,9001,[0.86096325 0.81578441],[0.9330205  0.87969987],[0.73106061 0.61702128],[0.71818182 0.61170213],[0.675      0.53280142],[0.73181818 0.59219858]
99,475,10001,[0.81819337 0.78698249],[0.88684867 0.87233404],[0.75378788 0.71542553],[0.76969697 0.75886525],[0.74242424 0.59042553],[0.79545455 0.62056738]
100,475,11001,[0.85218034 0.73298151],[0.9272912  0.79973272],[0.84090909 0.66046099],[0.86969697 0.60638298],[0.71818182 0.6498227 ],[0.81060606 0.7748227 ]
101,475,12001,[0.77668441 0.67604866],[0.85621235 0.70144003],[0.66287879 0.70833333],[0.64242424 0.70212766],[0.7530303  0.52039007],[0.83484848 0.62765957]
102,475,13001,[0.80740027 0.74889543],[0.88387591 0.82010582],[0.73257576 0.68705674],[0.74848485 0.71099291],[0.63257576 0.57269504],[0.72575758 0.82269504]
103,475,14001,[0.86001718 0.66253023],[0.93665537 0.70921284],[0.79772727 0.7677305 ],[0.80909091 0.76950355],[0.68484848 0.54609929],[0.74393939 0.57624113]
104,475,15001,[0.85007853 0.85257459],[0.93172579 0.92058037],[0.72045455 0.77836879],[0.76666667 0.82092199],[0.74318182 0.54964539],[0.81060606 0.70212766]
