,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,10000,31002,[0.75191131 0.79001089 0.6471774 ],[0.81706071 0.86517435 0.69825489],[0.67012069 0.73820672 0.63510418],[0.72605181 0.80674861 0.68215649],[0.67333449 0.74703796 0.62744887],[0.7280024  0.81986179 0.66654104]
1,10000,32002,[0.74828714 0.79248324 0.64836772],[0.81849155 0.86370654 0.70078203],[0.68612544 0.73069996 0.63409264],[0.74134435 0.79622931 0.67564223],[0.66376514 0.74396476 0.61791068],[0.72689075 0.81975623 0.6557265 ]
2,10000,33002,[0.71391105 0.79647783 0.69568137],[0.77710667 0.87118962 0.75823311],[0.6646127  0.72874213 0.61893737],[0.71785699 0.7975114  0.66133151],[0.6455589  0.73110602 0.61088714],[0.71306792 0.80564922 0.65840512]
3,10000,34002,[0.7496386  0.79724706 0.65548023],[0.82161657 0.86787277 0.70854136],[0.69149819 0.76142922 0.62878124],[0.74752411 0.83020684 0.66763018],[0.65745836 0.73702279 0.61510135],[0.71821395 0.80651059 0.658972  ]
4,10000,35002,[0.7115367  0.76540775 0.64942695],[0.77309793 0.83621326 0.7015993 ],[0.66983088 0.74377439 0.62794855],[0.72296649 0.8104671  0.66598047],[0.67027356 0.74441579 0.62862567],[0.72569692 0.80543726 0.66494288]
5,10000,36002,[0.72640219 0.79141329 0.65900913],[0.79275447 0.86160506 0.70937219],[0.66227367 0.74056355 0.62286802],[0.72019887 0.80415993 0.66035777],[0.66493887 0.73633529 0.60678336],[0.71683055 0.81192771 0.64653954]
6,10000,37002,[0.6984116  0.78089289 0.6786739 ],[0.76140461 0.85524715 0.73670025],[0.69351133 0.76927375 0.61652575],[0.75573112 0.84088945 0.65308331],[0.67141361 0.75287014 0.62449519],[0.72890401 0.81201363 0.66950142]
7,10000,38002,[0.7420364  0.79736657 0.64874689],[0.81410996 0.86787406 0.69660636],[0.68041859 0.74023356 0.62855976],[0.73768502 0.81499207 0.67022531],[0.65390201 0.73921149 0.60815338],[0.70746357 0.80855208 0.65978722]
8,10000,39002,[0.70697821 0.78628194 0.65285744],[0.77978216 0.86247528 0.70617141],[0.67548193 0.75169448 0.61915129],[0.73357034 0.81587435 0.65971194],[0.66462519 0.7385296  0.62898325],[0.71822701 0.81158599 0.67811269]
9,10000,40002,[0.74891283 0.79226293 0.65045518],[0.81157537 0.87314861 0.70230686],[0.66727972 0.74858303 0.61724139],[0.72362672 0.81501427 0.66053359],[0.66909992 0.73088867 0.5941375 ],[0.7237208  0.80384951 0.63863874]
10,10000,41002,[0.7019709  0.79633266 0.65390782],[0.76268156 0.86795802 0.71162348],[0.67911292 0.74463778 0.63950764],[0.73421827 0.81454363 0.6827786 ],[0.66913752 0.74515427 0.60741773],[0.72749634 0.80874037 0.64967901]
11,10000,42002,[0.74074764 0.79317774 0.65152618],[0.80804326 0.86989078 0.71013622],[0.68005381 0.74363272 0.62115802],[0.73615359 0.81018801 0.65695211],[0.66178347 0.73375034 0.61455454],[0.7175382  0.80467369 0.65936172]
12,10000,43002,[0.71393183 0.78629605 0.64445403],[0.77606828 0.86197143 0.69471402],[0.68571771 0.75810204 0.6054293 ],[0.74405701 0.831784   0.64581585],[0.67009725 0.73389425 0.62880985],[0.72201621 0.80595525 0.66971424]
13,10000,44002,[0.71541152 0.78815006 0.65362617],[0.78112013 0.86089549 0.70731692],[0.67779582 0.7450908  0.62410155],[0.7308426  0.8115665  0.66244327],[0.66146536 0.73527499 0.62029102],[0.72365829 0.80588792 0.66646933]
14,10000,45002,[0.703577   0.79854935 0.64209145],[0.76769699 0.86888224 0.69722583],[0.69260096 0.73888933 0.62457012],[0.74529277 0.80886664 0.6626919 ],[0.65509809 0.74197726 0.62383419],[0.71865396 0.80899131 0.66171071]
15,10000,46002,[0.6966148  0.79804705 0.64270496],[0.76236662 0.86863605 0.69984454],[0.67524306 0.75301785 0.62170832],[0.73393045 0.82103516 0.66033313],[0.67922031 0.74337368 0.6202466 ],[0.73603437 0.81872679 0.66273746]
16,10000,47002,[0.73962576 0.79162879 0.65051664],[0.80975817 0.86029941 0.70955316],[0.6631833  0.73625731 0.61694915],[0.71172143 0.79968116 0.65428598],[0.66958871 0.75559005 0.61696891],[0.72385451 0.82763684 0.6642384 ]
17,10000,48002,[0.69745758 0.78408468 0.65584182],[0.75917036 0.85764163 0.7107971 ],[0.68519338 0.74874371 0.64413546],[0.73751332 0.81208393 0.68836667],[0.66427235 0.75355367 0.59993931],[0.72164233 0.82505204 0.64359309]
18,10000,49002,[0.69877072 0.80026362 0.64034395],[0.7648723  0.86955046 0.69673144],[0.66072909 0.73139056 0.60860153],[0.71637966 0.80529204 0.65444001],[0.67111605 0.73321894 0.63510176],[0.73728517 0.79994188 0.68104323]
19,10000,50002,[0.76394147 0.79207447 0.65432928],[0.82830015 0.86084022 0.7058714 ],[0.67375986 0.75444535 0.63263952],[0.72460729 0.81451205 0.67108815],[0.66309057 0.74427567 0.63031649],[0.72398563 0.81192088 0.6710081 ]
20,10000,51002,[0.70757386 0.79262288 0.65249738],[0.77118074 0.86588985 0.70802691],[0.68178023 0.75053273 0.62009962],[0.7359386  0.81927741 0.66446606],[0.66257248 0.73506944 0.63759648],[0.71388995 0.81113448 0.68141772]
21,10000,52002,[0.74914669 0.79493386 0.66655416],[0.81735798 0.86892421 0.72180642],[0.67132304 0.74025004 0.61145139],[0.72654867 0.80361524 0.65696075],[0.68016654 0.7454915  0.6007356 ],[0.7309144  0.81639026 0.64742731]
22,10000,53002,[0.70394237 0.78646358 0.64944777],[0.76303534 0.85625979 0.70078274],[0.67930203 0.71758685 0.61726622],[0.73830295 0.79010185 0.66172316],[0.67608836 0.74649884 0.61795036],[0.73282895 0.82167323 0.65706091]
23,10000,54002,[0.70417072 0.80409828 0.65954364],[0.7696045  0.87440027 0.70931372],[0.68737096 0.74090197 0.62617465],[0.74727055 0.79928718 0.66779575],[0.67300991 0.74966447 0.61402607],[0.73281017 0.82040903 0.66600417]
24,10000,55002,[0.71604368 0.79533611 0.65688   ],[0.78291617 0.86640834 0.70976141],[0.66508404 0.74500451 0.61452571],[0.72393807 0.81572859 0.65768214],[0.67323378 0.71955149 0.61898066],[0.73244869 0.79260735 0.659648  ]
25,10000,56002,[0.70096492 0.79346249 0.65178801],[0.77101633 0.86668075 0.70761421],[0.66509237 0.7323757  0.63075192],[0.71925993 0.79854558 0.67203278],[0.66622415 0.73894733 0.62477655],[0.73020633 0.80922102 0.6702837 ]
