,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
81,10000,82001,[0.96409266 0.97051453 0.93958589 0.94921826],[0.99335762 0.99320297 0.97884977 0.98319386],[0.94506506 0.94264184 0.90997111 0.8995845 ],[0.98474137 0.98054374 0.95900992 0.94762372],[0.94806067 0.93730623 0.91350329 0.88208073],[0.98918919 0.9819107  0.9696877  0.95210804]
82,10000,83001,[0.96676604 0.96775882 0.94024982 0.94706457],[0.9935723  0.99298103 0.97894196 0.98291877],[0.95025407 0.92240105 0.91010885 0.88158931],[0.98871312 0.97500363 0.96264388 0.95227708],[0.93807952 0.92175344 0.8942692  0.87761359],[0.98428456 0.97562064 0.95828767 0.94837595]
83,10000,84001,[0.96367984 0.97077626 0.94220892 0.94919549],[0.99358698 0.99409969 0.97957756 0.98356697],[0.93629456 0.92038011 0.91804423 0.91359637],[0.98222948 0.97641264 0.9668788  0.96019401],[0.94743351 0.92145561 0.89630262 0.90147218],[0.98852349 0.97989017 0.96179482 0.95886265]
84,10000,85001,[0.96438242 0.96807332 0.94096197 0.94331188],[0.99336411 0.99358881 0.97832203 0.98116188],[0.96492696 0.93696168 0.92832427 0.92605027],[0.99329293 0.98675662 0.97082136 0.97194102],[0.94820212 0.93158487 0.91310622 0.88463851],[0.98738098 0.98310431 0.96385945 0.96015507]
85,10000,86001,[0.96325408 0.96587134 0.94679234 0.94391998],[0.99316288 0.99326383 0.9803546  0.97966207],[0.95064793 0.93452213 0.91004077 0.90991607],[0.9880647  0.98042129 0.96369308 0.96868315],[0.95473443 0.94832802 0.88800977 0.89584622],[0.99195279 0.99008912 0.95812595 0.96029741]
86,10000,87001,[0.96585132 0.97097421 0.93829809 0.94914839],[0.99402855 0.99416846 0.97821075 0.98257728],[0.94106643 0.93637082 0.93067087 0.91437067],[0.9846021  0.98120245 0.97413843 0.96810656],[0.93756291 0.92846743 0.89797566 0.89280058],[0.98451508 0.97691588 0.9649291  0.95608675]
87,10000,88001,[0.96616818 0.96835696 0.92163503 0.94450765],[0.99382003 0.99344816 0.96854404 0.98160275],[0.93979017 0.92913634 0.91075751 0.89435836],[0.98701204 0.98193073 0.95465116 0.95155353],[0.92655327 0.91104612 0.90479798 0.88834277],[0.98497067 0.97430809 0.95952365 0.95483613]
88,10000,89001,[0.96205169 0.96702468 0.93425061 0.94724971],[0.99308525 0.99362626 0.97528136 0.98212938],[0.94906375 0.921752   0.90842642 0.89206367],[0.98651206 0.974012   0.96543403 0.95359851],[0.94974325 0.90904205 0.91925188 0.8977857 ],[0.98869013 0.97565808 0.96973445 0.9619475 ]
89,10000,90001,[0.95972445 0.97096466 0.94207995 0.94626159],[0.99153657 0.99421387 0.97958581 0.98179718],[0.95397192 0.93353757 0.92182607 0.89427832],[0.98996037 0.9827069  0.96226265 0.95892947],[0.9499701  0.93345206 0.90730523 0.89436374],[0.98922808 0.98417147 0.96437297 0.9500455 ]
90,10000,91001,[0.96467711 0.96622654 0.9451477  0.94666071],[0.99355221 0.9932643  0.97953957 0.98223412],[0.94351509 0.93277746 0.9176501  0.90742775],[0.98720344 0.97974034 0.96632037 0.96100989],[0.94072339 0.92716676 0.91315683 0.91379198],[0.98719277 0.97830136 0.96341998 0.96666743]
91,10000,92001,[0.96465733 0.97205241 0.91772091 0.94419425],[0.99314324 0.99374503 0.96785747 0.98155211],[0.94657094 0.92609499 0.90204546 0.89567755],[0.98703602 0.97670436 0.95950451 0.95733454],[0.95026948 0.91336665 0.90071461 0.89536047],[0.98910079 0.97953739 0.95490671 0.95051287]
92,10000,93001,[0.96327206 0.96379136 0.93188571 0.93032964],[0.9931224  0.99226426 0.97637433 0.97540803],[0.94803766 0.94122143 0.91505007 0.8997364 ],[0.98739058 0.98606807 0.9675143  0.95750944],[0.94373812 0.93755548 0.90583241 0.90027223],[0.98786557 0.98580544 0.96085013 0.95844327]
93,10000,94001,[0.96416014 0.96863783 0.94250613 0.94106301],[0.99336506 0.99390373 0.97858136 0.98070015],[0.94488266 0.93637716 0.92296251 0.90421559],[0.98685077 0.98325216 0.96582928 0.96072325],[0.94913975 0.91119098 0.90968958 0.89233359],[0.9861043  0.97432056 0.96383212 0.95432387]
