,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,20000,121005,[0.72534365 0.78172353 0.65026166],[0.79214973 0.85712327 0.70465939],[0.6930326  0.76047295 0.61752556],[0.75048022 0.82697236 0.66382348],[0.66882205 0.73760402 0.61290895],[0.73146832 0.80846793 0.67099048]
1,20000,122005,[0.72145592 0.7831053  0.64888113],[0.78824606 0.85676676 0.70424986],[0.69709766 0.74796358 0.63851392],[0.75868003 0.81375494 0.6793538 ],[0.67680803 0.74790938 0.63043901],[0.73423999 0.81899044 0.67149398]
2,20000,123005,[0.6913401  0.78339025 0.64263861],[0.76067057 0.85624503 0.6951929 ],[0.67222918 0.74510645 0.63299081],[0.72695106 0.80614001 0.67841666],[0.69128646 0.7688795  0.62478503],[0.74645803 0.84163072 0.6755903 ]
3,20000,124005,[0.72479236 0.77828426 0.65079136],[0.79525387 0.85232884 0.70600243],[0.6884884  0.76880573 0.6282233 ],[0.74450524 0.83559279 0.67452729],[0.6743466  0.7416218  0.61146914],[0.73278763 0.81555678 0.65314045]
4,20000,125005,[0.71991407 0.77684903 0.64002131],[0.79018052 0.85098634 0.69534975],[0.70300855 0.7537617  0.6282113 ],[0.76342242 0.81950113 0.66759611],[0.6752201  0.75760398 0.61828104],[0.73559291 0.82748985 0.6618378 ]
5,20000,126005,[0.73141806 0.7787671  0.64470947],[0.79738672 0.8498886  0.69794088],[0.68422915 0.75352858 0.62053822],[0.74151101 0.82217063 0.66560566],[0.66839265 0.73633406 0.62272614],[0.73034071 0.81077303 0.67287825]
6,20000,127005,[0.71951402 0.78803666 0.65092515],[0.78600369 0.85913446 0.70656426],[0.68675212 0.75624162 0.617204  ],[0.74299766 0.82871278 0.66210212],[0.65381705 0.7579965  0.62301058],[0.72034002 0.83149786 0.6700679 ]
7,20000,128005,[0.72536598 0.78050213 0.6442258 ],[0.78987553 0.85342002 0.69687645],[0.68360755 0.74335652 0.63680208],[0.74563312 0.81065012 0.68091028],[0.68441598 0.76066942 0.63651261],[0.74855561 0.83539708 0.68428327]
8,20000,129005,[0.70819416 0.78481506 0.64964901],[0.77741453 0.85804704 0.69977873],[0.68185938 0.75412421 0.6264989 ],[0.73996033 0.81938497 0.66787484],[0.67095309 0.73226104 0.62300998],[0.72902512 0.80354735 0.67099342]
9,20000,130005,[0.72485993 0.77747328 0.64618049],[0.79362203 0.84971746 0.70112052],[0.68072866 0.7635778  0.62441054],[0.73270946 0.82852556 0.66625114],[0.67346632 0.75445041 0.61774042],[0.73125697 0.82241517 0.6726443 ]
10,20000,131005,[0.72537087 0.79051358 0.64263796],[0.79463974 0.86216759 0.69532822],[0.67457781 0.7508765  0.63120967],[0.73506037 0.81829436 0.67573096],[0.66979614 0.73508052 0.62322137],[0.7262046  0.80626002 0.67741063]
11,20000,132005,[0.73404189 0.78936023 0.64919092],[0.80204653 0.85947627 0.70430281],[0.67827104 0.75507228 0.63249404],[0.74101409 0.82876917 0.67592383],[0.65686383 0.73404235 0.61745882],[0.71918024 0.80740814 0.66168651]
12,20000,133005,[0.69584822 0.78271743 0.65302482],[0.76460054 0.85585506 0.70718465],[0.67460786 0.74268614 0.63616215],[0.73171105 0.81207644 0.6754849 ],[0.68061119 0.75750048 0.62174993],[0.74947189 0.82899147 0.66707218]
13,20000,134005,[0.73668468 0.78314854 0.65388977],[0.80158464 0.85440666 0.70770973],[0.66703122 0.73108109 0.63033622],[0.72660282 0.80205192 0.678748  ],[0.68260283 0.76280903 0.62742493],[0.74654762 0.83615551 0.67170653]
