,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
0,5000,181007,[0.7181728  0.79796723 0.65322282],[0.77857296 0.87196896 0.70841611],[0.67244721 0.75653795 0.61869766],[0.72372436 0.82384377 0.65683259],[0.65456839 0.72863808 0.6070581 ],[0.70549136 0.79441213 0.64398348]
1,5000,182007,[0.68855556 0.79253169 0.71191927],[0.76007378 0.86976811 0.78014766],[0.65199536 0.72649588 0.61890774],[0.6968143  0.79146399 0.65899986],[0.66133978 0.72912845 0.59919484],[0.72127963 0.80538702 0.63770471]
2,5000,183007,[0.73985939 0.80984415 0.65145603],[0.80673945 0.88196875 0.70478301],[0.66650478 0.74869207 0.6200611 ],[0.71406318 0.81146785 0.65632252],[0.66642274 0.72478486 0.62014284],[0.72458424 0.79922846 0.66583031]
3,5000,184007,[0.70519804 0.80215951 0.65771391],[0.77186439 0.87804138 0.71571181],[0.66430139 0.72199806 0.61611427],[0.71870499 0.78146147 0.6509226 ],[0.65443533 0.73710489 0.60469779],[0.70902764 0.8106506  0.64617569]
4,5000,185007,[0.70810166 0.80634763 0.66212548],[0.765836   0.87873157 0.72122343],[0.66875524 0.72864105 0.63834023],[0.71848878 0.79415681 0.68355018],[0.66450471 0.73763476 0.60647399],[0.71996694 0.80833351 0.65200014]
5,5000,186007,[0.70401609 0.80361917 0.67003643],[0.77271108 0.86975573 0.71815536],[0.64896874 0.73454949 0.60923779],[0.69495642 0.79862079 0.64344644],[0.65431317 0.75415183 0.61438586],[0.70367116 0.82299342 0.65697269]
6,5000,187007,[0.70476687 0.80603203 0.64698833],[0.76996069 0.88235625 0.69921987],[0.67548266 0.75098017 0.60255985],[0.72668013 0.81700419 0.64163314],[0.66024101 0.72525203 0.60977803],[0.71511138 0.79477441 0.65018416]
7,5000,188007,[0.71683442 0.80812271 0.66193914],[0.77027706 0.88138145 0.71183547],[0.67097703 0.72802026 0.61085615],[0.72188514 0.79482016 0.64917861],[0.65813134 0.73810918 0.61274254],[0.71298985 0.80712583 0.65283278]
8,5000,189007,[0.72189746 0.80644779 0.65990257],[0.7841005  0.88161151 0.7092188 ],[0.65728356 0.7354507  0.61475802],[0.7093137  0.80097181 0.65535192],[0.66914715 0.72129941 0.61267399],[0.72146788 0.79594743 0.64734874]
9,5000,190007,[0.74572697 0.81397467 0.68819477],[0.81282526 0.88046562 0.74663206],[0.64854617 0.74567951 0.61822715],[0.70243808 0.81457613 0.65546739],[0.65960493 0.73396655 0.62118682],[0.71878207 0.80226476 0.66881303]
10,5000,191007,[0.7092486  0.81236384 0.65880411],[0.76830243 0.88430625 0.70963421],[0.67482701 0.76090771 0.62083086],[0.71999933 0.82534789 0.66105449],[0.65579288 0.7220879  0.60292878],[0.71115788 0.79483796 0.64603579]
11,5000,192007,[0.74431368 0.80796279 0.64573104],[0.80872658 0.88346932 0.69832804],[0.68072392 0.74828902 0.62788668],[0.73051203 0.81434749 0.66663324],[0.63527598 0.72759257 0.62651766],[0.69545844 0.79584699 0.67037658]
12,5000,193007,[0.7404279  0.78247695 0.70061847],[0.80968438 0.85244636 0.76449049],[0.67103521 0.744277   0.61637714],[0.72257405 0.80927946 0.65594088],[0.66747617 0.73170657 0.61271791],[0.71508133 0.80181808 0.6562794 ]
13,5000,194007,[0.70622424 0.79571075 0.71511362],[0.76941149 0.8753373  0.78423494],[0.66780486 0.73934109 0.60277198],[0.71619768 0.80460089 0.63979643],[0.6640756  0.73360126 0.61025683],[0.72213476 0.80028598 0.65561955]
14,5000,195007,[0.73980233 0.80932287 0.65802272],[0.80526927 0.87815183 0.71765245],[0.64878783 0.74227263 0.62024697],[0.7022395  0.81085604 0.6607623 ],[0.66013704 0.73155001 0.61909646],[0.72119597 0.80571094 0.66133406]
15,5000,196007,[0.70790642 0.77261876 0.66180223],[0.77065691 0.83911173 0.71618518],[0.66979396 0.75666318 0.62117032],[0.72120019 0.82330709 0.66013421],[0.64677946 0.72562211 0.60651785],[0.70604348 0.79780105 0.64015336]
16,5000,197007,[0.69899433 0.80723113 0.64312352],[0.75929827 0.88313936 0.6954385 ],[0.67238415 0.74381457 0.61778131],[0.7312522  0.81397289 0.65188475],[0.64955558 0.72555594 0.5953078 ],[0.7121374  0.79617701 0.64845593]
17,5000,198007,[0.74194579 0.80724144 0.64690355],[0.81484364 0.88385362 0.69783966],[0.66965557 0.73304454 0.63561362],[0.72868374 0.80414227 0.67712217],[0.65755712 0.72917739 0.62148143],[0.71731639 0.79283947 0.66235105]
18,5000,199007,[0.71100371 0.80943497 0.65138438],[0.77304684 0.87711802 0.69663533],[0.65926453 0.74328008 0.61664488],[0.71607343 0.80873866 0.65612648],[0.66685812 0.71612973 0.61561298],[0.72676619 0.78791813 0.65967244]
19,5000,200007,[0.71829529 0.81109784 0.65125915],[0.78260988 0.88113503 0.70620009],[0.65309026 0.74851049 0.62856565],[0.70662912 0.81216196 0.66045522],[0.66291327 0.73735867 0.63599017],[0.71248557 0.80360044 0.68277656]
20,5000,201007,[0.69364084 0.79918677 0.65833152],[0.76020668 0.87147318 0.70953008],[0.66271439 0.74367878 0.6219164 ],[0.71575888 0.80879287 0.65731944],[0.66353894 0.7417814  0.60822434],[0.72143582 0.81437934 0.64852928]
21,5000,202007,[0.71509467 0.81740641 0.64969477],[0.77143503 0.88699064 0.6982622 ],[0.67220521 0.75187102 0.60935133],[0.72359525 0.80965582 0.64867257],[0.64767159 0.73094393 0.62535791],[0.70332727 0.79415318 0.66479421]
22,5000,203007,[0.70164437 0.80700702 0.67322229],[0.76312455 0.87494568 0.71738081],[0.66086459 0.72098841 0.60547724],[0.70916281 0.78479629 0.63644975],[0.65886161 0.73666265 0.63199368],[0.71759079 0.80142635 0.66626327]
23,5000,204007,[0.70806485 0.80811534 0.65446705],[0.76564861 0.87441073 0.71220333],[0.66902703 0.74547773 0.61878766],[0.72185872 0.81291687 0.66400697],[0.65858031 0.7283872  0.61993075],[0.71487869 0.79976818 0.66508991]
24,5000,205007,[0.70570612 0.80564375 0.65503415],[0.77311993 0.88214663 0.70712797],[0.67770625 0.73422462 0.6258032 ],[0.72917602 0.79832047 0.66172728],[0.66978782 0.74637633 0.61188382],[0.72635145 0.81503479 0.6540888 ]
25,5000,206007,[0.78350401 0.7942175  0.66592103],[0.85102077 0.86376054 0.71963759],[0.67655633 0.71847006 0.6122689 ],[0.73388017 0.78790016 0.6483981 ],[0.65505226 0.72547637 0.61907737],[0.71033715 0.79118565 0.66849172]
26,5000,207007,[0.70295958 0.78462362 0.66704967],[0.76896432 0.85516395 0.71359456],[0.65487731 0.74392028 0.62401449],[0.70304218 0.80703724 0.65865096],[0.64770633 0.73199804 0.62940077],[0.70747763 0.79783091 0.6682675 ]
27,5000,208007,[0.77088785 0.8038493  0.65398542],[0.83905823 0.87180751 0.70845398],[0.68456113 0.7386921  0.629893  ],[0.74131882 0.80165582 0.65915101],[0.65115779 0.72976635 0.63184192],[0.71255838 0.80184545 0.67272745]
28,5000,209007,[0.7707172  0.80070214 0.65470347],[0.84374241 0.87138672 0.70562792],[0.66191523 0.72961636 0.61543654],[0.71533589 0.79410355 0.64452165],[0.64323637 0.72609778 0.62069187],[0.70154115 0.79246745 0.65649462]
29,5000,210007,[0.6911276  0.8161783  0.65066223],[0.75442483 0.8895454  0.70802746],[0.65446414 0.71968098 0.61621347],[0.69833624 0.7808998  0.65412743],[0.65830366 0.73004776 0.61903929],[0.72376856 0.79760565 0.66303173]
