,n,random_state,train_BA,train_auroc,val_BA,val_auroc,test_BA,test_auroc
71,20000,72001,[0.723217   0.78278029 0.64174371],[0.79289782 0.85454111 0.69671411],[0.67015728 0.7507534  0.62472368],[0.73034374 0.81426164 0.6696629 ],[0.66675266 0.7555035  0.62469699],[0.72844897 0.82883179 0.67131831]
72,20000,73001,[0.69943469 0.77956701 0.64483218],[0.76360638 0.8528743  0.69811527],[0.68627516 0.75047007 0.64312439],[0.74723505 0.81936185 0.6849357 ],[0.67553646 0.75478344 0.63010116],[0.73350723 0.82098459 0.68021248]
73,20000,74001,[0.70063039 0.78637778 0.64462409],[0.76589345 0.8599293  0.70292738],[0.68035748 0.75517453 0.6087784 ],[0.73520037 0.82066419 0.65191886],[0.67934018 0.75715415 0.63469313],[0.7417423  0.82742511 0.68699241]
74,20000,75001,[0.6912174  0.77772548 0.64694379],[0.75467873 0.85592406 0.70211357],[0.67652793 0.76755489 0.61566534],[0.73988607 0.8286749  0.65509527],[0.68178724 0.74409361 0.62865783],[0.74439524 0.8154479  0.67482319]
75,20000,76001,[0.73341572 0.78004533 0.64893075],[0.80391975 0.85476602 0.70204858],[0.68628592 0.74898981 0.63304161],[0.74204927 0.81234071 0.67192221],[0.67241895 0.7559019  0.61732374],[0.72372256 0.8240046  0.66207354]
76,20000,77001,[0.73194683 0.78282089 0.65247322],[0.80126907 0.85293521 0.70614129],[0.68507694 0.74691565 0.64090317],[0.74131408 0.81325583 0.68720723],[0.68082137 0.75921513 0.6211745 ],[0.74447043 0.82799488 0.66584925]
77,20000,78001,[0.68866397 0.78874117 0.6466367 ],[0.75475676 0.85868151 0.7007067 ],[0.68368577 0.74864029 0.61427033],[0.73987561 0.82404413 0.65969074],[0.66096387 0.73687658 0.62897862],[0.72394794 0.80765547 0.67509429]
78,20000,79001,[0.73305293 0.77637049 0.64907394],[0.80124904 0.85322766 0.69712348],[0.66776177 0.76703991 0.62388066],[0.72099743 0.83716599 0.66712022],[0.66498925 0.73336478 0.63752832],[0.72646994 0.81039134 0.69042818]
79,20000,80001,[0.68948885 0.77754896 0.66989558],[0.75725747 0.85152391 0.73216122],[0.68651006 0.76596179 0.623203  ],[0.74212355 0.83429638 0.6724471 ],[0.66288394 0.75575734 0.62973606],[0.73276176 0.83173567 0.67807378]
80,20000,81001,[0.69989697 0.77955458 0.64089892],[0.76449263 0.85120509 0.69653279],[0.684063   0.75363865 0.63266136],[0.74180308 0.81973427 0.67473443],[0.65283102 0.74736562 0.61396294],[0.72323597 0.82142537 0.66284249]
81,20000,82001,[0.7238834  0.78350138 0.65007225],[0.79605509 0.85620176 0.70439417],[0.69508612 0.75370183 0.62173926],[0.75583935 0.82458431 0.66684918],[0.66086333 0.75185159 0.62509008],[0.72423592 0.8272455  0.67096312]
82,20000,83001,[0.69341545 0.78488066 0.64364376],[0.76065179 0.85700018 0.6969495 ],[0.66662241 0.74196416 0.62983459],[0.71739433 0.81281491 0.66971541],[0.66689959 0.7381158  0.61752137],[0.72300808 0.81311752 0.66529514]
