,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.9935066103935242,[0.55119048],[0.49464286],0.9982478022575378,[0.52272727],[0.41212121],0.9971398115158081,[0.44469697],[0.48787879]
1,2,0.9160744547843933,[0.58452381],[0.51011905],0.9203346967697144,[0.57045455],[0.44848485],0.9187824130058289,[0.4469697],[0.48181818]
2,3,0.8450851440429688,[0.57202381],[0.54464286],0.8487216234207153,[0.57121212],[0.47878788],0.846657931804657,[0.425],[0.50151515]
3,4,0.8149375319480896,[0.60714286],[0.57916667],0.8175893425941467,[0.62651515],[0.53939394],0.8154462575912476,[0.45833333],[0.52121212]
4,5,0.8321205973625183,[0.61964286],[0.59821429],0.8335448503494263,[0.64924242],[0.6030303],0.8328577876091003,[0.45909091],[0.55454545]
5,6,0.8551410436630249,[0.6125],[0.60535714],0.8557606339454651,[0.69469697],[0.64848485],0.8577778339385986,[0.51590909],[0.56969697]
6,7,0.8623151779174805,[0.62738095],[0.62797619],0.8629414439201355,[0.70606061],[0.66060606],0.8683587312698364,[0.49318182],[0.57272727]
7,8,0.8500702381134033,[0.64880952],[0.64464286],0.8516910672187805,[0.68560606],[0.66969697],0.8611171245574951,[0.51742424],[0.56969697]
8,9,0.8240899443626404,[0.65714286],[0.66845238],0.8276856541633606,[0.68560606],[0.68939394],0.8417976498603821,[0.51742424],[0.54090909]
9,10,0.7977991104125977,[0.7],[0.69940476],0.8042614459991455,[0.68257576],[0.67727273],0.8238667845726013,[0.59393939],[0.4969697]
10,11,0.7921441793441772,[0.69345238],[0.71904762],0.8019986748695374,[0.67121212],[0.66212121],0.8277314305305481,[0.52651515],[0.48181818]
11,12,0.8056398034095764,[0.70714286],[0.73095238],0.8184317946434021,[0.67272727],[0.66818182],0.8500187993049622,[0.48333333],[0.4530303]
12,13,0.8121193647384644,[0.71309524],[0.73095238],0.8269016742706299,[0.68409091],[0.67121212],0.863705039024353,[0.43863636],[0.43787879]
13,14,0.8017585873603821,[0.71428571],[0.73392857],0.8175098896026611,[0.68409091],[0.67121212],0.858883261680603,[0.43863636],[0.44393939]
14,15,0.7822208404541016,[0.71369048],[0.73095238],0.7979709506034851,[0.67272727],[0.67727273],0.8430096507072449,[0.43863636],[0.45454545]
15,16,0.7704753875732422,[0.7202381],[0.72916667],0.7855321168899536,[0.67348485],[0.68181818],0.8330291509628296,[0.47272727],[0.4530303]
16,17,0.7735438346862793,[0.72738095],[0.72261905],0.7881746292114258,[0.69621212],[0.68939394],0.8376517295837402,[0.49545455],[0.46363636]
17,18,0.777564525604248,[0.72738095],[0.7202381],0.7927672863006592,[0.69621212],[0.68787879],0.8449398279190063,[0.48409091],[0.46363636]
18,19,0.7726321220397949,[0.72738095],[0.72440476],0.7896807789802551,[0.69621212],[0.68484848],0.8459714651107788,[0.48409091],[0.46060606]
19,20,0.7613973617553711,[0.7202381],[0.7327381],0.7813351154327393,[0.66212121],[0.67424242],0.843189537525177,[0.47272727],[0.46060606]
20,21,0.7533431053161621,[0.71369048],[0.74107143],0.7766333818435669,[0.66212121],[0.67121212],0.8448723554611206,[0.47272727],[0.45757576]
21,22,0.7532140612602234,[0.7202381],[0.73869048],0.7796855568885803,[0.67272727],[0.67424242],0.8540551662445068,[0.43863636],[0.45909091]
22,23,0.7549704909324646,[0.7202381],[0.74047619],0.784022867679596,[0.67272727],[0.67575758],0.8633351922035217,[0.43863636],[0.45909091]
23,24,0.7509063482284546,[0.7202381],[0.74107143],0.7818293571472168,[0.66212121],[0.67424242],0.8645192980766296,[0.48409091],[0.46060606]
24,25,0.7427973747253418,[0.7202381],[0.74345238],0.7750949263572693,[0.66212121],[0.66818182],0.8596817255020142,[0.48409091],[0.46666667]
25,26,0.7373552322387695,[0.7202381],[0.7452381],0.7709022760391235,[0.6719697],[0.66969697],0.8564505577087402,[0.50530303],[0.46515152]
26,27,0.7362326979637146,[0.72083333],[0.74880952],0.7712441682815552,[0.66212121],[0.66969697],0.8577365279197693,[0.48409091],[0.46212121]
27,28,0.7356932759284973,[0.72083333],[0.74880952],0.7726171612739563,[0.66212121],[0.66969697],0.8608490228652954,[0.48409091],[0.46060606]
28,29,0.732410728931427,[0.72083333],[0.75357143],0.7717547416687012,[0.66212121],[0.66969697],0.8628606796264648,[0.48409091],[0.46060606]
29,30,0.7268785834312439,[0.72738095],[0.75595238],0.7690111398696899,[0.66212121],[0.66969697],0.8639501929283142,[0.48409091],[0.46212121]
30,31,0.7221059799194336,[0.72738095],[0.76071429],0.7671415209770203,[0.66212121],[0.66969697],0.866301953792572,[0.48409091],[0.46515152]
31,32,0.7198559641838074,[0.74166667],[0.76428571],0.7676875591278076,[0.66212121],[0.66666667],0.8707423210144043,[0.49545455],[0.46363636]
32,33,0.7186381220817566,[0.74166667],[0.76845238],0.7690567970275879,[0.66212121],[0.66363636],0.875166118144989,[0.49545455],[0.45909091]
33,34,0.7159446477890015,[0.74166667],[0.77321429],0.7687495350837708,[0.66212121],[0.66212121],0.876947283744812,[0.49545455],[0.45606061]
34,35,0.7116087079048157,[0.74166667],[0.77440476],0.7666806578636169,[0.66212121],[0.66363636],0.8761644959449768,[0.46212121],[0.45606061]
35,36,0.7075834274291992,[0.74166667],[0.77738095],0.7649051547050476,[0.66212121],[0.65909091],0.8751950860023499,[0.47348485],[0.45757576]
36,37,0.7050645351409912,[0.74166667],[0.78035714],0.764694333076477,[0.66212121],[0.65909091],0.875712513923645,[0.47348485],[0.45606061]
37,38,0.7032516002655029,[0.74761905],[0.7875],0.7652847170829773,[0.66212121],[0.66212121],0.8773029446601868,[0.47348485],[0.45606061]
38,39,0.7007635235786438,[0.74761905],[0.79047619],0.7652856111526489,[0.66212121],[0.65909091],0.8787275552749634,[0.47348485],[0.45757576]
39,40,0.6973423957824707,[0.74761905],[0.79464286],0.7643787860870361,[0.66212121],[0.65757576],0.8795744776725769,[0.46212121],[0.45454545]
40,41,0.6939283013343811,[0.7547619],[0.79821429],0.7634240388870239,[0.66212121],[0.65606061],0.8804386258125305,[0.46212121],[0.4530303]
41,42,0.6913648247718811,[0.7547619],[0.80178571],0.7632209062576294,[0.66212121],[0.65757576],0.8818374872207642,[0.46212121],[0.44848485]
42,43,0.6894013285636902,[0.7547619],[0.80535714],0.7635365128517151,[0.66212121],[0.65909091],0.8833861351013184,[0.46212121],[0.4469697]
43,44,0.6871611475944519,[0.7547619],[0.8077381],0.7635522484779358,[0.66212121],[0.65909091],0.8842737078666687,[0.46212121],[0.4469697]
44,45,0.6843281388282776,[0.7547619],[0.81369048],0.7630066871643066,[0.66212121],[0.65909091],0.8843282461166382,[0.46212121],[0.4469697]
45,46,0.6814343929290771,[0.7547619],[0.81547619],0.7624494433403015,[0.66212121],[0.66212121],0.8841961622238159,[0.46212121],[0.45]
46,47,0.6790403127670288,[0.76130952],[0.81785714],0.7624117136001587,[0.66212121],[0.66515152],0.8844994306564331,[0.46212121],[0.45]
47,48,0.6770597100257874,[0.76130952],[0.82261905],0.762749433517456,[0.66212121],[0.66212121],0.8851746320724487,[0.46212121],[0.45]
48,49,0.6750062108039856,[0.76785714],[0.82857143],0.7629145979881287,[0.66212121],[0.66515152],0.8857182264328003,[0.46212121],[0.45151515]
49,50,0.6726453900337219,[0.76785714],[0.8327381],0.7626269459724426,[0.66212121],[0.67272727],0.8858374953269958,[0.46212121],[0.45606061]
50,51,0.6702120304107666,[0.775],[0.83690476],0.7621095776557922,[0.67272727],[0.67727273],0.8857008218765259,[0.4719697],[0.45606061]
51,52,0.66804438829422,[0.775],[0.84107143],0.7617359161376953,[0.67272727],[0.67727273],0.885628879070282,[0.4719697],[0.45151515]
52,53,0.6661648750305176,[0.77559524],[0.84166667],0.7616052031517029,[0.67272727],[0.67878788],0.8857056498527527,[0.4719697],[0.45606061]
53,54,0.6643078923225403,[0.78214286],[0.84642857],0.7615383863449097,[0.68409091],[0.67727273],0.8857725262641907,[0.4719697],[0.45606061]
54,55,0.6622857451438904,[0.78214286],[0.85],0.7614030241966248,[0.68409091],[0.67424242],0.8857254385948181,[0.4719697],[0.45606061]
55,56,0.6601926684379578,[0.78214286],[0.8547619],0.7612932324409485,[0.68409091],[0.67878788],0.8856748938560486,[0.4719697],[0.45454545]
56,57,0.6582348346710205,[0.78214286],[0.86071429],0.7613599896430969,[0.68409091],[0.67878788],0.8857794404029846,[0.4719697],[0.45606061]
57,58,0.6564652323722839,[0.7952381],[0.86607143],0.7615728974342346,[0.68484848],[0.68181818],0.886019766330719,[0.46212121],[0.45757576]
58,59,0.6547551155090332,[0.80238095],[0.86904762],0.7617239356040955,[0.69621212],[0.68484848],0.8862029314041138,[0.46212121],[0.45909091]
59,60,0.6529772877693176,[0.80238095],[0.87083333],0.7616386413574219,[0.69621212],[0.68333333],0.8861655592918396,[0.46212121],[0.46060606]
60,61,0.6511470675468445,[0.80238095],[0.87321429],0.7613299489021301,[0.69621212],[0.68484848],0.885921835899353,[0.46212121],[0.45909091]
61,62,0.6493741273880005,[0.80238095],[0.87440476],0.7609511017799377,[0.69621212],[0.68484848],0.8856204152107239,[0.46212121],[0.46060606]
62,63,0.6477183103561401,[0.80238095],[0.875],0.7606378793716431,[0.69621212],[0.68484848],0.8853928446769714,[0.46212121],[0.46212121]
63,64,0.6461310982704163,[0.80238095],[0.87797619],0.7604244351387024,[0.69621212],[0.68636364],0.8852707147598267,[0.46212121],[0.46212121]
64,65,0.6445300579071045,[0.80238095],[0.88095238],0.7602866291999817,[0.69621212],[0.68636364],0.8852294087409973,[0.46212121],[0.46060606]
65,66,0.6428967714309692,[0.80238095],[0.88452381],0.7602200508117676,[0.69621212],[0.68636364],0.8852620124816895,[0.46212121],[0.46212121]
66,67,0.6412831544876099,[0.80952381],[0.88690476],0.7602437138557434,[0.69621212],[0.68787879],0.8853861093521118,[0.46212121],[0.46515152]
67,68,0.6397385597229004,[0.81547619],[0.89047619],0.7603426575660706,[0.69621212],[0.68787879],0.8855897188186646,[0.46212121],[0.46515152]
68,69,0.6382554173469543,[0.81547619],[0.89166667],0.7604389190673828,[0.69621212],[0.68939394],0.8858027458190918,[0.46212121],[0.46666667]
69,70,0.636789083480835,[0.82261905],[0.89464286],0.7604344487190247,[0.69621212],[0.68939394],0.8859366178512573,[0.46212121],[0.46969697]
70,71,0.6353132128715515,[0.82380952],[0.89583333],0.760282576084137,[0.70757576],[0.68939394],0.8859498500823975,[0.46212121],[0.46969697]
71,72,0.6338431239128113,[0.82380952],[0.89583333],0.7600156664848328,[0.70757576],[0.68787879],0.885872483253479,[0.46212121],[0.46969697]
72,73,0.6324106454849243,[0.8297619],[0.89702381],0.759711742401123,[0.70757576],[0.68787879],0.8857742547988892,[0.46212121],[0.46969697]
73,74,0.6310258507728577,[0.8297619],[0.89821429],0.7594418525695801,[0.70757576],[0.68787879],0.885715126991272,[0.46212121],[0.46969697]
74,75,0.6296699047088623,[0.83035714],[0.89940476],0.7592424154281616,[0.70757576],[0.68787879],0.885720431804657,[0.46212121],[0.46969697]
75,76,0.6283203959465027,[0.83035714],[0.90059524],0.7591239213943481,[0.70757576],[0.68787879],0.8857927322387695,[0.46212121],[0.46969697]
76,77,0.6269752383232117,[0.83035714],[0.90238095],0.7590848207473755,[0.70757576],[0.68939394],0.885927140712738,[0.46212121],[0.47272727]
77,78,0.6256497502326965,[0.83035714],[0.90297619],0.7591124176979065,[0.70757576],[0.68939394],0.8861124515533447,[0.46212121],[0.47424242]
