,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.8243594374507666,[0.57921123],[0.54791945],0.8466548200231045,[0.62878788],[0.58636364],0.8359819080214947,[0.57272727],[0.67121212]
1,2,0.7955001574009657,[0.60310829],[0.5863135],0.8084221291355789,[0.67424242],[0.62727273],0.7985255029052496,[0.66363636],[0.70454545]
2,3,0.7923314338549972,[0.63218583],[0.6189004],0.8018199275247753,[0.68636364],[0.66363636],0.7920081876218319,[0.63106061],[0.71363636]
3,4,0.7867438280954957,[0.63352273],[0.63945521],0.8011482157744467,[0.6969697],[0.66515152],0.7907080417498946,[0.64166667],[0.71969697]
4,5,0.7828976353630424,[0.64872995],[0.655874],0.7972441674210131,[0.68560606],[0.66818182],0.7865576972253621,[0.68636364],[0.71969697]
5,6,0.7800048450008035,[0.65340909],[0.66886698],0.793279570993036,[0.70757576],[0.68030303],0.7823139866814017,[0.66363636],[0.71060606]
6,7,0.7772526545450091,[0.65741979],[0.67241811],0.7957362406887114,[0.69621212],[0.67878788],0.7843597722239792,[0.66363636],[0.71363636]
7,8,0.7733444282785058,[0.66510695],[0.67985461],0.7910921042785048,[0.70757576],[0.68636364],0.7795068169943988,[0.66363636],[0.71666667]
8,9,0.770408745855093,[0.66209893],[0.68461731],0.7890252447687089,[0.68560606],[0.68333333],0.7770409625954926,[0.69772727],[0.71212121]
9,10,0.7679857611656189,[0.66928476],[0.6895889],0.7862785309553146,[0.68409091],[0.68636364],0.7737948033027351,[0.68484848],[0.70909091]
10,11,0.765097513794899,[0.66209893],[0.69272226],0.785593818873167,[0.68409091],[0.68636364],0.7728500487282872,[0.68484848],[0.70757576]
11,12,0.7631129929795861,[0.66527406],[0.69727607],0.7837897627614439,[0.68409091],[0.68636364],0.7702914578840137,[0.68484848],[0.70151515]
12,13,0.7605970613658428,[0.66527406],[0.69928142],0.7832544683478773,[0.69545455],[0.68484848],0.7698050579056144,[0.69621212],[0.7]
13,14,0.7587899025529623,[0.6671123],[0.70220588],0.7835468701086938,[0.69545455],[0.68484848],0.7697019120678306,[0.70757576],[0.7]
14,15,0.7563223391771317,[0.66343583],[0.70642547],0.781655506696552,[0.69545455],[0.68333333],0.7673494548071176,[0.71893939],[0.6969697]
15,16,0.7552630621939898,[0.66293449],[0.70909926],0.7792570376768708,[0.69545455],[0.68636364],0.7634641367476434,[0.71893939],[0.7]
16,17,0.752909604460001,[0.66895053],[0.71127172],0.7808282999321818,[0.67651515],[0.67878788],0.7654547796119004,[0.68787879],[0.6969697]
17,18,0.7521620634943247,[0.67078877],[0.71469753],0.7779974988661706,[0.68409091],[0.68484848],0.7608869252726436,[0.70757576],[0.70151515]
18,19,0.7490578815340996,[0.67463235],[0.71762199],0.7789613930508494,[0.68333333],[0.68030303],0.7626982785295695,[0.65075758],[0.69848485]
19,20,0.7469252664595842,[0.67446524],[0.72042112],0.7769810168538243,[0.68333333],[0.68030303],0.7603184506297112,[0.67348485],[0.7]
20,21,0.7457233564928174,[0.67613636],[0.72159091],0.7776304427534342,[0.67651515],[0.67878788],0.7605872445274144,[0.65454545],[0.70151515]
21,22,0.74455233104527,[0.67379679],[0.72221758],0.7748100769240409,[0.67651515],[0.67878788],0.756078536156565,[0.68787879],[0.70757576]
22,23,0.7422482902184129,[0.6834893],[0.72606116],0.7755231086630374,[0.67651515],[0.67878788],0.757225809386,[0.63257576],[0.70909091]
23,24,0.7413372732698917,[0.68716578],[0.72802473],0.7760582033079118,[0.67651515],[0.67727273],0.757311599329114,[0.63257576],[0.70909091]
24,25,0.7408464411273599,[0.67379679],[0.72848429],0.7731907146517187,[0.67651515],[0.68333333],0.7519372720271349,[0.68787879],[0.71212121]
25,26,0.7388486824929714,[0.68733289],[0.73278743],0.7756199992727488,[0.67651515],[0.67424242],0.7561586599331349,[0.63257576],[0.71212121]
26,27,0.7377587463706732,[0.67429813],[0.73278743],0.771783868316561,[0.67651515],[0.68181818],0.7492618022952229,[0.68787879],[0.71060606]
27,28,0.7355598378926516,[0.68549465],[0.73546123],0.7733053080737591,[0.67651515],[0.67727273],0.752624825341627,[0.69924242],[0.71212121]
28,29,0.7337188217788935,[0.6834893],[0.73763369],0.7706407078076154,[0.67651515],[0.67878788],0.7483422996010631,[0.69924242],[0.71212121]
29,30,0.7322883047163486,[0.68917112],[0.74005682],0.7705710760783404,[0.67651515],[0.67727273],0.7482401893939823,[0.71060606],[0.71212121]
30,31,0.7313573686406016,[0.68917112],[0.7421875],0.7710919077508152,[0.67651515],[0.67424242],0.7485256821382791,[0.71060606],[0.71363636]
31,32,0.7311358544975519,[0.68382353],[0.74252172],0.7690922324545681,[0.66515152],[0.68181818],0.7437720245216042,[0.69924242],[0.71363636]
32,33,0.7285399986431003,[0.6875],[0.74473596],0.7690903090406209,[0.67651515],[0.67727273],0.7450030220206827,[0.71060606],[0.71212121]
33,34,0.7274506650865078,[0.6875],[0.74653242],0.7686013814527541,[0.67651515],[0.68030303],0.7437080345116556,[0.71060606],[0.71515152]
34,35,0.7264311565086246,[0.6875],[0.74778576],0.768388649681583,[0.67651515],[0.68181818],0.7435786731075495,[0.71060606],[0.71515152]
35,36,0.7251871014013886,[0.68933824],[0.74958222],0.766745739383623,[0.67121212],[0.68030303],0.7403795451391488,[0.6280303],[0.71515152]
36,37,0.7240707613527775,[0.69100936],[0.75079378],0.7662662537768483,[0.67121212],[0.68030303],0.7395575265400112,[0.65075758],[0.71515152]
37,38,0.7229213770478964,[0.69100936],[0.75275735],0.7660862894263119,[0.67121212],[0.68030303],0.7396250851452351,[0.65075758],[0.71515152]
38,39,0.7219557743519545,[0.68917112],[0.75472092],0.7661001435481012,[0.67121212],[0.67878788],0.739611345808953,[0.66212121],[0.71666667]
