,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.8519588708877563,[0.54025961],[0.50197749],0.8600363731384277,[0.55757576],[0.43484848],0.8528910875320435,[0.48030303],[0.53181818]
1,2,0.8538734912872314,[0.60282933],[0.57894737],0.880134642124176,[0.56136364],[0.51212121],0.8582481145858765,[0.53863636],[0.63787879]
2,3,0.9041032195091248,[0.6257479],[0.60490822],0.9339718222618103,[0.58560606],[0.53484848],0.9061774611473083,[0.61818182],[0.68030303]
3,4,0.8324333429336548,[0.62691411],[0.63026062],0.857845664024353,[0.62954545],[0.57878788],0.8315019011497498,[0.66212121],[0.72272727]
4,5,0.8255887627601624,[0.64755096],[0.6754893],0.833287239074707,[0.6969697],[0.68333333],0.8209501504898071,[0.72954545],[0.78939394]
5,6,0.900879442691803,[0.664892],[0.69070074],0.9001286625862122,[0.73106061],[0.70151515],0.894917368888855,[0.7530303],[0.80606061]
6,7,0.8305110931396484,[0.64684109],[0.68299361],0.8364760279655457,[0.71969697],[0.70909091],0.8228234052658081,[0.6969697],[0.80454545]
7,8,0.7852942943572998,[0.6501369],[0.66666667],0.8085997104644775,[0.66136364],[0.63484848],0.7768782377243042,[0.62727273],[0.77424242]
8,9,0.8048551678657532,[0.66149478],[0.6628131],0.8337619304656982,[0.63787879],[0.61969697],0.7965788245201111,[0.61590909],[0.77575758]
9,10,0.7756912112236023,[0.66438495],[0.67609776],0.7994891405105591,[0.66212121],[0.63787879],0.7666366696357727,[0.68409091],[0.78484848]
10,11,0.8018609881401062,[0.65262144],[0.69059933],0.8136398196220398,[0.68333333],[0.68181818],0.7928189635276794,[0.70530303],[0.7969697]
11,12,0.796969473361969,[0.66479059],[0.69485853],0.8108550310134888,[0.67272727],[0.67727273],0.789191722869873,[0.69469697],[0.80454545]
12,13,0.7701878547668457,[0.66139337],[0.69303316],0.7989369630813599,[0.65],[0.6469697],0.7653815746307373,[0.67272727],[0.78939394]
13,14,0.7842862010002136,[0.66747794],[0.69627827],0.8192034959793091,[0.63863636],[0.63333333],0.7829940915107727,[0.65],[0.78939394]
14,15,0.7654061317443848,[0.68532603],[0.71047561],0.7939276099205017,[0.65454545],[0.66212121],0.7654116749763489,[0.67651515],[0.8]
15,16,0.7894111275672913,[0.68552885],[0.7219349],0.8108918070793152,[0.64393939],[0.66666667],0.7915958166122437,[0.65454545],[0.8]
16,17,0.7689003944396973,[0.6881148],[0.72649833],0.7967620491981506,[0.64393939],[0.66060606],0.7743245363235474,[0.65454545],[0.79090909]
17,18,0.784364640712738,[0.69110638],[0.72376027],0.8236884474754333,[0.64393939],[0.64090909],0.7943694591522217,[0.67727273],[0.80757576]
18,19,0.7720242738723755,[0.69419937],[0.73075753],0.8087674379348755,[0.64393939],[0.64545455],0.7835971713066101,[0.65454545],[0.79545455]
19,20,0.7990196943283081,[0.69419937],[0.73876889],0.8221558928489685,[0.6530303],[0.67121212],0.8103029727935791,[0.675],[0.77878788]
20,21,0.8034005165100098,[0.68821621],[0.74059426],0.82562255859375,[0.65],[0.66818182],0.81529301404953,[0.68333333],[0.77121212]
21,22,0.7696101665496826,[0.68821621],[0.73410405],0.8025537729263306,[0.66060606],[0.66363636],0.7826734185218811,[0.7280303],[0.79393939]
22,23,0.7846499085426331,[0.6913092],[0.72842511],0.8207261562347412,[0.65151515],[0.66515152],0.7976916432380676,[0.66287879],[0.78787879]
23,24,0.7719260454177856,[0.67944428],[0.73410405],0.7977994680404663,[0.66212121],[0.68181818],0.7826022505760193,[0.66212121],[0.79545455]
24,25,0.7819137573242188,[0.67665551],[0.73075753],0.8030852675437927,[0.6719697],[0.68787879],0.7909928560256958,[0.6719697],[0.79393939]
25,26,0.7722970843315125,[0.68253727],[0.7187912],0.8011857271194458,[0.70833333],[0.6969697],0.7802676558494568,[0.66287879],[0.8030303]
26,27,0.7721542119979858,[0.67346111],[0.7125038],0.8002176284790039,[0.71969697],[0.69090909],0.7784104943275452,[0.67424242],[0.8030303]
27,28,0.775422215461731,[0.66778217],[0.71656019],0.7944879531860352,[0.69772727],[0.69090909],0.7799898982048035,[0.73106061],[0.7969697]
28,29,0.7681701183319092,[0.67036812],[0.70743332],0.790006697177887,[0.70833333],[0.69090909],0.7717497944831848,[0.68560606],[0.80151515]
29,30,0.7707877159118652,[0.67604705],[0.70165298],0.7982248663902283,[0.6969697],[0.69090909],0.7739793658256531,[0.67424242],[0.79242424]
30,31,0.7656742334365845,[0.66737653],[0.70499949],0.7896712422370911,[0.69772727],[0.69393939],0.7685757279396057,[0.6969697],[0.79545455]
31,32,0.7715152502059937,[0.67188926],[0.71047561],0.7912255525588989,[0.69772727],[0.69242424],0.7747030854225159,[0.71969697],[0.79848485]
32,33,0.7645338177680969,[0.66458777],[0.70763614],0.7908408045768738,[0.675],[0.67727273],0.7685170769691467,[0.6969697],[0.79242424]
33,34,0.7662155628204346,[0.67046953],[0.71027279],0.7955551743507385,[0.675],[0.67575758],0.7713636755943298,[0.68560606],[0.79545455]
34,35,0.7651423811912537,[0.66798499],[0.71716864],0.7904165387153625,[0.66363636],[0.67424242],0.7712276577949524,[0.70833333],[0.79242424]
35,36,0.7656413912773132,[0.67934287],[0.72467295],0.7916321158409119,[0.66363636],[0.67727273],0.772942304611206,[0.6969697],[0.78939394]
36,37,0.764643132686615,[0.68223304],[0.72325322],0.7965326309204102,[0.65075758],[0.66969697],0.7734916806221008,[0.67272727],[0.79393939]
37,38,0.7634181380271912,[0.68821621],[0.72710678],0.7948620319366455,[0.64393939],[0.66515152],0.7732087969779968,[0.65454545],[0.78787879]
38,39,0.766904354095459,[0.69440219],[0.73197444],0.7950320839881897,[0.65],[0.66818182],0.777146577835083,[0.71666667],[0.78030303]
39,40,0.763363242149353,[0.69419937],[0.73521955],0.7950236797332764,[0.64393939],[0.66515152],0.7743398547172546,[0.65454545],[0.78787879]
40,41,0.7645887732505798,[0.70576006],[0.73379982],0.7983147501945496,[0.64393939],[0.66212121],0.7759671211242676,[0.65454545],[0.78787879]
41,42,0.76421058177948,[0.69729236],[0.73876889],0.7945549488067627,[0.65],[0.66969697],0.775080680847168,[0.69469697],[0.79545455]
42,43,0.764752209186554,[0.70576006],[0.73846466],0.7943331003189087,[0.66136364],[0.67272727],0.7752120494842529,[0.69469697],[0.79848485]
43,44,0.7638328075408936,[0.69708954],[0.73450968],0.796207070350647,[0.66136364],[0.67424242],0.7740997672080994,[0.70606061],[0.80151515]
44,45,0.7632457613945007,[0.69110638],[0.73308995],0.7941301465034485,[0.66212121],[0.68181818],0.7727519273757935,[0.68409091],[0.79848485]
45,46,0.7650856971740723,[0.68532603],[0.73248149],0.7926337122917175,[0.67272727],[0.68636364],0.7736970782279968,[0.70606061],[0.8030303]
46,47,0.7632614970207214,[0.68522462],[0.72852652],0.7922520637512207,[0.67272727],[0.68939394],0.7714541554450989,[0.7280303],[0.8030303]
47,48,0.7637847661972046,[0.68223304],[0.72396309],0.7936840057373047,[0.675],[0.69090909],0.7716254591941833,[0.68560606],[0.80757576]
48,49,0.7638733386993408,[0.67346111],[0.72487577],0.7909646034240723,[0.66363636],[0.68787879],0.7711865305900574,[0.6969697],[0.80151515]
49,50,0.7645862698554993,[0.67635128],[0.72447013],0.7907052636146545,[0.675],[0.68636364],0.7716991901397705,[0.6969697],[0.80151515]
50,51,0.763970673084259,[0.67346111],[0.72021093],0.7922393679618835,[0.675],[0.68030303],0.7712233662605286,[0.6969697],[0.8030303]
51,52,0.7640789151191711,[0.67057094],[0.71950106],0.7918723225593567,[0.675],[0.68181818],0.7714248299598694,[0.6969697],[0.8]
52,53,0.7652451992034912,[0.67097657],[0.72183349],0.7909752726554871,[0.675],[0.68181818],0.7726970314979553,[0.71969697],[0.80151515]
53,54,0.7645850777626038,[0.67097657],[0.72010952],0.7915748357772827,[0.675],[0.67424242],0.7723713517189026,[0.71969697],[0.79545455]
54,55,0.7648144960403442,[0.67346111],[0.72041375],0.7933063507080078,[0.675],[0.67272727],0.7729820609092712,[0.70833333],[0.7969697]
55,56,0.764960765838623,[0.67386675],[0.72223912],0.7921742796897888,[0.675],[0.67424242],0.7733128666877747,[0.71969697],[0.79242424]
56,57,0.7654983997344971,[0.67964709],[0.72467295],0.7922947406768799,[0.66363636],[0.67424242],0.7740362882614136,[0.71969697],[0.79242424]
57,58,0.7648719549179077,[0.67356252],[0.72335463],0.7935467958450317,[0.66363636],[0.67272727],0.7736613750457764,[0.70833333],[0.79242424]
58,59,0.7648022770881653,[0.67386675],[0.72447013],0.7935812473297119,[0.66363636],[0.67272727],0.7736560106277466,[0.70833333],[0.79090909]
59,60,0.7652484774589539,[0.67964709],[0.7273096],0.7927782535552979,[0.66363636],[0.68030303],0.7739968299865723,[0.70833333],[0.7969697]
60,61,0.7646363973617554,[0.67954569],[0.72659974],0.7930103540420532,[0.66363636],[0.68181818],0.7733553051948547,[0.70833333],[0.7969697]
61,62,0.764367938041687,[0.67954569],[0.72659974],0.7937920093536377,[0.66363636],[0.68030303],0.7730380296707153,[0.70833333],[0.79848485]
62,63,0.7642530798912048,[0.67954569],[0.72771524],0.7927418947219849,[0.66363636],[0.68181818],0.772699236869812,[0.70833333],[0.79848485]
63,64,0.7643435001373291,[0.67964709],[0.7283237],0.7923629879951477,[0.66363636],[0.68181818],0.7726097106933594,[0.70833333],[0.79848485]
64,65,0.763751208782196,[0.67934287],[0.72659974],0.7928706407546997,[0.66363636],[0.68181818],0.7719782590866089,[0.6969697],[0.8030303]
65,66,0.7636141180992126,[0.67934287],[0.72568705],0.79270339012146,[0.66363636],[0.68333333],0.7717556357383728,[0.6969697],[0.80151515]
66,67,0.7638615965843201,[0.67964709],[0.72751242],0.7919235229492188,[0.66363636],[0.68333333],0.7718918323516846,[0.6969697],[0.80151515]
67,68,0.7635988593101501,[0.67934287],[0.72710678],0.7920202612876892,[0.66363636],[0.68484848],0.7716740369796753,[0.6969697],[0.79848485]
68,69,0.7634710669517517,[0.68223304],[0.72599128],0.7925882339477539,[0.66363636],[0.68484848],0.7716663479804993,[0.6969697],[0.7969697]
69,70,0.7635908126831055,[0.67934287],[0.72741101],0.7920535206794739,[0.66363636],[0.68484848],0.771838366985321,[0.6969697],[0.7969697]
70,71,0.7638681530952454,[0.67675692],[0.72801947],0.7918715476989746,[0.66363636],[0.68333333],0.7722088098526001,[0.6969697],[0.7969697]
71,72,0.763678789138794,[0.67934287],[0.72700537],0.7924062013626099,[0.66363636],[0.68333333],0.7722045183181763,[0.6969697],[0.79545455]
72,73,0.7637747526168823,[0.67934287],[0.72649833],0.7925775647163391,[0.66363636],[0.68181818],0.7724302411079407,[0.6969697],[0.79393939]
73,74,0.7640982866287231,[0.67964709],[0.72812088],0.7921821475028992,[0.66363636],[0.68181818],0.7728020548820496,[0.70833333],[0.7969697]
74,75,0.7641053795814514,[0.67964709],[0.72801947],0.7923716902732849,[0.66363636],[0.68181818],0.7728881239891052,[0.70833333],[0.79545455]
75,76,0.7640666365623474,[0.67964709],[0.72741101],0.7928634881973267,[0.66363636],[0.68030303],0.772915244102478,[0.70833333],[0.79393939]
76,77,0.7642005085945129,[0.67964709],[0.72781665],0.7925810217857361,[0.66363636],[0.68181818],0.7730038166046143,[0.70833333],[0.79393939]
77,78,0.7643846869468689,[0.67964709],[0.72801947],0.7923986911773682,[0.66363636],[0.68181818],0.7731097936630249,[0.70833333],[0.79545455]
78,79,0.7642197012901306,[0.67964709],[0.72741101],0.7927053570747375,[0.66363636],[0.68181818],0.7728960514068604,[0.70833333],[0.79545455]
79,80,0.76419997215271,[0.67645269],[0.72659974],0.7927570343017578,[0.66363636],[0.68181818],0.7727789282798767,[0.70833333],[0.79545455]
80,81,0.7643246650695801,[0.67675692],[0.72741101],0.7923681139945984,[0.66363636],[0.68181818],0.77275550365448,[0.70833333],[0.79545455]
81,82,0.7642484307289124,[0.67675692],[0.7273096],0.792375922203064,[0.66363636],[0.68181818],0.7725779414176941,[0.70833333],[0.79848485]
82,83,0.7641095519065857,[0.67645269],[0.72588987],0.7926146984100342,[0.66363636],[0.68181818],0.7723735570907593,[0.70833333],[0.7969697]
83,84,0.7641230225563049,[0.67645269],[0.72609269],0.7923699021339417,[0.66363636],[0.68181818],0.7722974419593811,[0.70833333],[0.7969697]
84,85,0.7641843557357788,[0.67386675],[0.72609269],0.7921733260154724,[0.66363636],[0.68181818],0.7722981572151184,[0.70833333],[0.7969697]
85,86,0.7640376687049866,[0.67645269],[0.72548423],0.7923658490180969,[0.66363636],[0.68181818],0.7721630334854126,[0.70833333],[0.7969697]
86,87,0.763994038105011,[0.67934287],[0.72548423],0.792439877986908,[0.66363636],[0.68181818],0.7721441984176636,[0.70833333],[0.79545455]
87,88,0.7640767097473145,[0.67645269],[0.72629551],0.7922113537788391,[0.66363636],[0.68181818],0.7722461819648743,[0.70833333],[0.7969697]
88,89,0.764055073261261,[0.67675692],[0.72659974],0.7922580242156982,[0.66363636],[0.68181818],0.7722892165184021,[0.70833333],[0.7969697]
89,90,0.7639763355255127,[0.67934287],[0.72659974],0.7924940586090088,[0.66363636],[0.68181818],0.7723039984703064,[0.70833333],[0.79545455]
90,91,0.7640162110328674,[0.67934287],[0.72649833],0.7924153208732605,[0.66363636],[0.68181818],0.7724096775054932,[0.70833333],[0.7969697]
91,92,0.7640936970710754,[0.67964709],[0.72700537],0.7923189997673035,[0.66363636],[0.68181818],0.7725449204444885,[0.70833333],[0.7969697]
92,93,0.7640288472175598,[0.67964709],[0.72690397],0.7924886345863342,[0.66363636],[0.68181818],0.772555947303772,[0.70833333],[0.7969697]
93,94,0.7640132904052734,[0.67964709],[0.72690397],0.7925814986228943,[0.66363636],[0.68181818],0.7725924253463745,[0.70833333],[0.79545455]
94,95,0.7640833258628845,[0.67964709],[0.72761383],0.7924309372901917,[0.66363636],[0.68181818],0.7726726531982422,[0.70833333],[0.79545455]
95,96,0.7640819549560547,[0.67964709],[0.72781665],0.7924373745918274,[0.66363636],[0.68181818],0.7726796865463257,[0.70833333],[0.79393939]
96,97,0.7640204429626465,[0.67964709],[0.72741101],0.7925741076469421,[0.66363636],[0.68181818],0.7726237773895264,[0.70833333],[0.79545455]
97,98,0.7640373110771179,[0.67964709],[0.72761383],0.7924941778182983,[0.66363636],[0.68181818],0.7726105451583862,[0.70833333],[0.79545455]
98,99,0.7640792727470398,[0.67964709],[0.72781665],0.7923746109008789,[0.66363636],[0.68181818],0.7726080417633057,[0.70833333],[0.79393939]
99,100,0.7640254497528076,[0.67964709],[0.72741101],0.7924443483352661,[0.66363636],[0.68181818],0.7725252509117126,[0.70833333],[0.79545455]
100,101,0.7639980912208557,[0.67675692],[0.72690397],0.7924796342849731,[0.66363636],[0.68181818],0.7724636793136597,[0.70833333],[0.79545455]
101,102,0.7640374898910522,[0.67675692],[0.7273096],0.7923503518104553,[0.66363636],[0.68181818],0.7724551558494568,[0.70833333],[0.79545455]
102,103,0.7640377283096313,[0.67675692],[0.72710678],0.7923310399055481,[0.66363636],[0.68181818],0.7724249958992004,[0.70833333],[0.79545455]
103,104,0.7639957666397095,[0.67675692],[0.72670115],0.7924237847328186,[0.66363636],[0.68181818],0.7723721861839294,[0.70833333],[0.79545455]
104,105,0.7640124559402466,[0.67675692],[0.72670115],0.7923865914344788,[0.66363636],[0.68181818],0.772373616695404,[0.70833333],[0.79545455]
105,106,0.7640538811683655,[0.67675692],[0.72700537],0.792316734790802,[0.66363636],[0.68181818],0.7724048495292664,[0.70833333],[0.7969697]
106,107,0.7640340328216553,[0.67675692],[0.72690397],0.7923856973648071,[0.66363636],[0.68181818],0.7723971009254456,[0.70833333],[0.7969697]
107,108,0.7640266418457031,[0.67675692],[0.72680256],0.79244464635849,[0.66363636],[0.68181818],0.7724062204360962,[0.70833333],[0.7969697]
108,109,0.7640671133995056,[0.67675692],[0.72690397],0.7923852205276489,[0.66363636],[0.68181818],0.7724549174308777,[0.70833333],[0.7969697]
109,110,0.7640821933746338,[0.67675692],[0.72700537],0.7923886179924011,[0.66363636],[0.68181818],0.7724858522415161,[0.70833333],[0.7969697]
110,111,0.7640602588653564,[0.67675692],[0.72649833],0.7924708724021912,[0.66363636],[0.68181818],0.7724874019622803,[0.70833333],[0.79545455]
111,112,0.7640733122825623,[0.67675692],[0.72659974],0.7924615740776062,[0.66363636],[0.68181818],0.7725120782852173,[0.70833333],[0.7969697]
112,113,0.7641015648841858,[0.67675692],[0.72700537],0.7924115061759949,[0.66363636],[0.68181818],0.7725441455841064,[0.70833333],[0.79545455]
113,114,0.76408451795578,[0.67675692],[0.72680256],0.7924495935440063,[0.66363636],[0.68181818],0.7725361585617065,[0.70833333],[0.7969697]
114,115,0.764068067073822,[0.67675692],[0.72690397],0.7924821972846985,[0.66363636],[0.68181818],0.7725241184234619,[0.70833333],[0.7969697]
115,116,0.7640838027000427,[0.67675692],[0.72720819],0.7924268841743469,[0.66363636],[0.68181818],0.7725318074226379,[0.70833333],[0.7969697]
116,117,0.7640833854675293,[0.67675692],[0.72720819],0.792406439781189,[0.66363636],[0.68181818],0.7725242972373962,[0.70833333],[0.7969697]
117,118,0.7640552520751953,[0.67675692],[0.72710678],0.7924449443817139,[0.66363636],[0.68181818],0.772493839263916,[0.70833333],[0.79545455]
118,119,0.7640512585639954,[0.67675692],[0.72690397],0.7924270033836365,[0.66363636],[0.68181818],0.7724815011024475,[0.70833333],[0.79545455]
119,120,0.7640618681907654,[0.67675692],[0.72700537],0.7923786044120789,[0.66363636],[0.68181818],0.772481381893158,[0.70833333],[0.79545455]
120,121,0.7640452980995178,[0.67675692],[0.72700537],0.7923952341079712,[0.66363636],[0.68181818],0.7724624872207642,[0.70833333],[0.79545455]
121,122,0.764029324054718,[0.67675692],[0.72700537],0.7924188375473022,[0.66363636],[0.68181818],0.7724469304084778,[0.70833333],[0.79545455]
122,123,0.7640395164489746,[0.67675692],[0.72710678],0.7923856377601624,[0.66363636],[0.68181818],0.7724539637565613,[0.70833333],[0.79545455]
123,124,0.7640433311462402,[0.67675692],[0.72720819],0.792375922203064,[0.66363636],[0.68181818],0.7724589705467224,[0.70833333],[0.79545455]
124,125,0.7640288472175598,[0.67675692],[0.72680256],0.7924128174781799,[0.66363636],[0.68181818],0.7724523544311523,[0.70833333],[0.79545455]
125,126,0.7640313506126404,[0.67675692],[0.72690397],0.7924154996871948,[0.66363636],[0.68181818],0.7724601626396179,[0.70833333],[0.79545455]
126,127,0.7640461325645447,[0.67675692],[0.72700537],0.7923930287361145,[0.66363636],[0.68181818],0.772477924823761,[0.70833333],[0.7969697]
127,128,0.7640427947044373,[0.67675692],[0.72700537],0.7924132347106934,[0.66363636],[0.68181818],0.7724815607070923,[0.70833333],[0.7969697]
128,129,0.7640371918678284,[0.67675692],[0.72690397],0.7924396991729736,[0.66363636],[0.68181818],0.7724825739860535,[0.70833333],[0.7969697]
129,130,0.7640489339828491,[0.67675692],[0.72710678],0.7924234867095947,[0.66363636],[0.68181818],0.7724949717521667,[0.70833333],[0.7969697]
130,131,0.7640560269355774,[0.67675692],[0.72720819],0.7924165725708008,[0.66363636],[0.68181818],0.7725019454956055,[0.70833333],[0.7969697]
