,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.8608738780021667,[0.52958703],[0.51025499],0.8680359125137329,[0.58712121],[0.39242424],0.8640919327735901,[0.46439394],[0.49545455]
1,2,0.880524754524231,[0.58216694],[0.58855322],0.8948607444763184,[0.53257576],[0.38636364],0.874610960483551,[0.48712121],[0.54545455]
2,3,0.9546113014221191,[0.61512611],[0.61259701],0.976131021976471,[0.51060606],[0.39090909],0.9466191530227661,[0.44318182],[0.57727273]
3,4,0.901658833026886,[0.62585458],[0.63779564],0.9226105213165283,[0.54393939],[0.44393939],0.8959314823150635,[0.52045455],[0.58030303]
4,5,0.8037034869194031,[0.63918145],[0.67123984],0.8160921335220337,[0.58863636],[0.50909091],0.8047854900360107,[0.59848485],[0.6]
5,6,0.9028425216674805,[0.66268246],[0.69466001],0.9073729515075684,[0.65454545],[0.61363636],0.9136545658111572,[0.62045455],[0.61212121]
6,7,0.9613273739814758,[0.6613082],[0.69828622],0.9640768766403198,[0.63181818],[0.63181818],0.9747205972671509,[0.59772727],[0.62121212]
7,8,0.8452057838439941,[0.65743949],[0.69650776],0.8530285358428955,[0.61060606],[0.6030303],0.8540586829185486,[0.63257576],[0.61666667]
8,9,0.7917829155921936,[0.65671194],[0.6846129],0.8173900246620178,[0.58863636],[0.55454545],0.793566107749939,[0.67727273],[0.61969697]
9,10,0.8250656723976135,[0.64392785],[0.67523559],0.8624857664108276,[0.58863636],[0.52272727],0.8236987590789795,[0.63181818],[0.63030303]
10,11,0.8031371235847473,[0.6536747],[0.67969327],0.8402324914932251,[0.58863636],[0.53181818],0.8028855919837952,[0.64318182],[0.62575758]
11,12,0.7804092764854431,[0.64892831],[0.68941704],0.8073316216468811,[0.61060606],[0.57424242],0.7840265035629272,[0.65454545],[0.62727273]
12,13,0.806775689125061,[0.65044115],[0.69202698],0.8274233341217041,[0.61590909],[0.6],0.8117820024490356,[0.58333333],[0.61969697]
13,14,0.7894072532653809,[0.65127263],[0.69144956],0.8160544037818909,[0.61590909],[0.59242424],0.7938329577445984,[0.58333333],[0.62575758]
14,15,0.773533046245575,[0.66141214],[0.69045639],0.8145211935043335,[0.59924242],[0.55454545],0.777050256729126,[0.65454545],[0.62727273]
15,16,0.7868741750717163,[0.65950665],[0.68907058],0.838025689125061,[0.56590909],[0.52424242],0.7904111742973328,[0.63181818],[0.63333333]
16,17,0.7831821441650391,[0.67209442],[0.69262749],0.8371524810791016,[0.57651515],[0.52424242],0.7886219620704651,[0.63181818],[0.63333333]
17,18,0.7658727765083313,[0.66910338],[0.69699279],0.8159106373786926,[0.59924242],[0.5530303],0.7731657028198242,[0.66590909],[0.62424242]
18,19,0.7665098309516907,[0.66871074],[0.70048041],0.8091509938240051,[0.59924242],[0.58484848],0.7733901739120483,[0.66590909],[0.62575758]
19,20,0.7723339796066284,[0.66479582],[0.70392184],0.812425971031189,[0.61590909],[0.6030303],0.7791013717651367,[0.56060606],[0.62272727]
20,21,0.7581398487091064,[0.6711128],[0.70676275],0.8059527277946472,[0.59924242],[0.58181818],0.768516480922699,[0.66590909],[0.62878788]
21,22,0.7531697154045105,[0.68639135],[0.7093034],0.8126515746116638,[0.59924242],[0.55757576],0.7700744867324829,[0.66590909],[0.62121212]
22,23,0.757716953754425,[0.69653086],[0.71286031],0.8244701027870178,[0.59924242],[0.54545455],0.7808766961097717,[0.66590909],[0.63030303]
23,24,0.7502496838569641,[0.68840078],[0.71507761],0.8155636191368103,[0.59924242],[0.55909091],0.7763639688491821,[0.66590909],[0.62878788]
24,25,0.7409010529518127,[0.68654148],[0.7179878],0.7971175909042358,[0.60984848],[0.58484848],0.765821635723114,[0.64318182],[0.63030303]
25,26,0.7443808317184448,[0.68066334],[0.72122136],0.7918920516967773,[0.62651515],[0.63030303],0.7682974934577942,[0.59393939],[0.63181818]
26,27,0.7391873002052307,[0.6867378],[0.72493995],0.7871355414390564,[0.61590909],[0.63939394],0.7684677243232727,[0.60606061],[0.63333333]
27,28,0.7309406995773315,[0.69202698],[0.72858925],0.7865336537361145,[0.61590909],[0.61212121],0.7719494700431824,[0.5280303],[0.62727273]
