,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.8201147317886353,[0.56550852],[0.56627555],0.8338404893875122,[0.57954545],[0.48484848],0.8234689235687256,[0.50151515],[0.6469697]
1,2,0.8696073293685913,[0.59621046],[0.60696961],0.9034978747367859,[0.57045455],[0.48484848],0.8850016593933105,[0.59318182],[0.62575758]
2,3,0.9403462409973145,[0.60603673],[0.61764584],0.9812310338020325,[0.58712121],[0.49545455],0.9619064331054688,[0.57424242],[0.62272727]
3,4,0.8859098553657532,[0.61047307],[0.63953729],0.928134560585022,[0.58106061],[0.49242424],0.9047579169273376,[0.55909091],[0.66060606]
4,5,0.7887124419212341,[0.64896969],[0.66889175],0.8270343542098999,[0.5530303],[0.50151515],0.7935131788253784,[0.69772727],[0.71969697]
5,6,0.8606402277946472,[0.66138729],[0.68510303],0.8883615136146545,[0.56363636],[0.52727273],0.8469792008399963,[0.67424242],[0.75454545]
6,7,0.9212847352027893,[0.66700527],[0.68941498],0.94856858253479,[0.58257576],[0.5469697],0.9010834693908691,[0.71666667],[0.76969697]
7,8,0.836788535118103,[0.67094407],[0.68995398],0.8746755719184875,[0.57348485],[0.52878788],0.8198437094688416,[0.68484848],[0.76212121]
8,9,0.7767256498336792,[0.6493843],[0.67270617],0.828357458114624,[0.57424242],[0.49545455],0.7777559161186218,[0.64015152],[0.70909091]
9,10,0.797831118106842,[0.6250881],[0.64961234],0.8540076017379761,[0.56439394],[0.48787879],0.817937433719635,[0.57424242],[0.65]
10,11,0.8088879585266113,[0.62146026],[0.64231519],0.8662489056587219,[0.5530303],[0.49545455],0.8364534378051758,[0.57424242],[0.63030303]
11,12,0.79656583070755,[0.61567644],[0.64111282],0.8553022742271423,[0.575],[0.48484848],0.8197159171104431,[0.60757576],[0.63181818]
12,13,0.781487762928009,[0.61961524],[0.64579792],0.842138946056366,[0.56363636],[0.47121212],0.794511079788208,[0.59621212],[0.66212121]
13,14,0.7744449377059937,[0.6358058],[0.65977031],0.8369287848472595,[0.54090909],[0.47272727],0.7759721875190735,[0.57348485],[0.69242424]
14,15,0.7770279049873352,[0.65794602],[0.67801318],0.8409641981124878,[0.57272727],[0.48939394],0.7680824995040894,[0.65075758],[0.72575758]
15,16,0.7828143835067749,[0.6600398],[0.68626394],0.8485195636749268,[0.58409091],[0.51363636],0.7678177356719971,[0.66212121],[0.73939394]
16,17,0.7795006036758423,[0.66205067],[0.68866868],0.8482851386070251,[0.58409091],[0.51818182],0.7647925615310669,[0.66212121],[0.73787879]
17,18,0.7700634002685547,[0.66565778],[0.68734193],0.8426061272621155,[0.59545455],[0.51060606],0.7607730031013489,[0.62878788],[0.73181818]
18,19,0.7642865777015686,[0.65819478],[0.68186907],0.840135931968689,[0.57272727],[0.4969697],0.7626620531082153,[0.63939394],[0.71969697]
19,20,0.762714147567749,[0.64882458],[0.68021062],0.8415068984031677,[0.55075758],[0.48787879],0.7681810259819031,[0.61742424],[0.70757576]
20,21,0.7619194388389587,[0.65400721],[0.68244952],0.8439704775810242,[0.55075758],[0.48333333],0.7721835374832153,[0.62878788],[0.7]
21,22,0.7592836022377014,[0.65585223],[0.68866868],0.8454377055168152,[0.57348485],[0.49848485],0.7712443470954895,[0.62878788],[0.69848485]
22,23,0.7538140416145325,[0.66516025],[0.69783159],0.8450351357460022,[0.60681818],[0.50606061],0.7640975713729858,[0.62878788],[0.6969697]
23,24,0.7465125918388367,[0.67270617],[0.70546043],0.8433058857917786,[0.58409091],[0.50757576],0.7523301839828491,[0.63939394],[0.70909091]
24,25,0.7404812574386597,[0.67388781],[0.71101621],0.8423804044723511,[0.59621212],[0.52575758],0.7410212755203247,[0.67424242],[0.71515152]
25,26,0.7381630539894104,[0.67656205],[0.71665492],0.8440405130386353,[0.60757576],[0.53636364],0.7351808547973633,[0.68560606],[0.72121212]
26,27,0.7362168431282043,[0.67463411],[0.72171317],0.8458001613616943,[0.59621212],[0.53939394],0.7329179644584656,[0.68560606],[0.72727273]
27,28,0.7298558354377747,[0.67923629],[0.72677143],0.8446210026741028,[0.60530303],[0.53939394],0.7295411825180054,[0.59393939],[0.73181818]
28,29,0.7227187156677246,[0.67915336],[0.7302127],0.8448013663291931,[0.60530303],[0.53484848],0.7277225852012634,[0.58257576],[0.73181818]
29,30,0.7199731469154358,[0.68804677],[0.73440027],0.850654125213623,[0.59393939],[0.53939394],0.7303962111473083,[0.60454545],[0.72575758]
30,31,0.7189075350761414,[0.69173681],[0.73755131],0.8575189709663391,[0.58257576],[0.53484848],0.7319666743278503,[0.59318182],[0.72878788]
31,32,0.7142080664634705,[0.68251171],[0.74037066],0.8573154211044312,[0.5719697],[0.53333333],0.7258108854293823,[0.6280303],[0.73181818]
32,33,0.7085134983062744,[0.67730835],[0.74269248],0.8508111238479614,[0.59469697],[0.53787879],0.7164838910102844,[0.68484848],[0.74545455]
33,34,0.7077502012252808,[0.67797172],[0.74422654],0.8465831279754639,[0.59469697],[0.5530303],0.7132189869880676,[0.64015152],[0.74848485]
34,35,0.7065675854682922,[0.68694805],[0.74617521],0.84587162733078,[0.59469697],[0.55757576],0.7121901512145996,[0.64015152],[0.75757576]
35,36,0.7013365030288696,[0.69264895],[0.74866288],0.8480830788612366,[0.59469697],[0.56060606],0.70918208360672,[0.64015152],[0.75454545]
36,37,0.6992623209953308,[0.69441105],[0.75293337],0.8558818697929382,[0.58333333],[0.55757576],0.7102667689323425,[0.62878788],[0.74848485]
37,38,0.6982555985450745,[0.69449397],[0.75720386],0.8596072196960449,[0.57651515],[0.55757576],0.7120146751403809,[0.66515152],[0.74242424]
38,39,0.6936693787574768,[0.70187404],[0.76031345],0.8513656258583069,[0.58484848],[0.56818182],0.7093822360038757,[0.70909091],[0.7469697]
39,40,0.6906045079231262,[0.69625606],[0.76292549],0.8406339883804321,[0.60757576],[0.57575758],0.7084962129592896,[0.69772727],[0.75454545]
40,41,0.6892340779304504,[0.69776939],[0.766118],0.8353040814399719,[0.60757576],[0.57424242],0.7105112075805664,[0.69772727],[0.7530303]
41,42,0.6849417686462402,[0.70322153],[0.77242008],0.8338080644607544,[0.60757576],[0.58030303],0.7112838625907898,[0.69772727],[0.7530303]
42,43,0.6818492412567139,[0.70707741],[0.77673204],0.8362246751785278,[0.61893939],[0.58636364],0.71463543176651,[0.70909091],[0.75151515]
43,44,0.6802657842636108,[0.71437456],[0.78303412],0.8365806937217712,[0.64166667],[0.5969697],0.7191416025161743,[0.67575758],[0.74848485]
44,45,0.6768258810043335,[0.71798167],[0.78784361],0.8292939066886902,[0.6530303],[0.60151515],0.719792902469635,[0.67575758],[0.7530303]
45,46,0.6743336915969849,[0.72167171],[0.7921141],0.8207187652587891,[0.66439394],[0.60757576],0.7197662591934204,[0.63106061],[0.76060606]
46,47,0.6731017827987671,[0.73097973],[0.79596998],0.816186249256134,[0.67575758],[0.61515152],0.7213357090950012,[0.63106061],[0.76363636]
47,48,0.6704530715942383,[0.73097973],[0.80077947],0.8146321177482605,[0.67575758],[0.61969697],0.7232697010040283,[0.63106061],[0.75606061]
48,49,0.6684980392456055,[0.7401219],[0.8065011],0.8158261775970459,[0.66439394],[0.61666667],0.7269118428230286,[0.63106061],[0.7469697]
49,50,0.6673967242240906,[0.74565695],[0.81106182],0.8162272572517395,[0.66439394],[0.61969697],0.7299995422363281,[0.64242424],[0.74545455]
50,51,0.6652519106864929,[0.74565695],[0.81379825],0.812404990196228,[0.67575758],[0.62727273],0.729119062423706,[0.64242424],[0.74848485]
51,52,0.6634677648544312,[0.74758489],[0.81599569],0.8077125549316406,[0.67575758],[0.63030303],0.7267053127288818,[0.64242424],[0.74848485]
52,53,0.6622724533081055,[0.74951283],[0.81806874],0.8053727149963379,[0.67575758],[0.63333333],0.7254349589347839,[0.64242424],[0.75]
53,54,0.6602450013160706,[0.74750197],[0.82018326],0.8051111698150635,[0.67575758],[0.63333333],0.7252201437950134,[0.64242424],[0.74848485]
54,55,0.6584519147872925,[0.75119201],[0.82370745],0.806633710861206,[0.66439394],[0.63030303],0.7260962724685669,[0.64242424],[0.75151515]
55,56,0.6570937037467957,[0.75303702],[0.82669265],0.8075898289680481,[0.66439394],[0.63333333],0.7260853052139282,[0.64242424],[0.74848485]
56,57,0.6551523208618164,[0.75455035],[0.82694142],0.8056621551513672,[0.66439394],[0.63181818],0.7231732606887817,[0.64242424],[0.75]
57,58,0.653428316116333,[0.75656122],[0.82669265],0.8028326034545898,[0.66439394],[0.63484848],0.7193150520324707,[0.64242424],[0.75757576]
58,59,0.652061402797699,[0.75848916],[0.82719018],0.8014112114906311,[0.66439394],[0.63333333],0.7166501879692078,[0.67575758],[0.75757576]
