,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.7873817351646721,[0.61096898],[0.60174821],0.7348244162276387,[0.59219858],[0.53368794],0.7341885513160378,[0.49911348],[0.5070922]
1,2,0.7877897806465626,[0.65152969],[0.64460079],0.7357508491259068,[0.61347518],[0.57624113],0.7367620039731264,[0.52039007],[0.5248227]
2,3,0.7645918820053339,[0.64955762],[0.67284938],0.7370974593795836,[0.64361702],[0.62765957],0.7396245775744319,[0.52748227],[0.55673759]
3,4,0.7536060996353626,[0.6712504],[0.68692037],0.724927460309118,[0.63386525],[0.63652482],0.7276205401867628,[0.44680851],[0.57269504]
4,5,0.7518708445131779,[0.65995096],[0.69502185],0.7161087542772293,[0.65425532],[0.63120567],0.7197334738448262,[0.54964539],[0.58156028]
5,6,0.7452522646635771,[0.66373521],[0.70120456],0.7153054773807526,[0.65425532],[0.64184397],0.7190348277799785,[0.56028369],[0.58156028]
6,7,0.7419568672776222,[0.6710372],[0.70866645],0.7161663791630417,[0.65336879],[0.64893617],0.7196603054180741,[0.53812057],[0.58865248]
7,8,0.7424575909972191,[0.66730626],[0.71356998],0.7232279335148633,[0.64450355],[0.64716312],0.7259553321637213,[0.54078014],[0.57801418]
8,9,0.7387586757540703,[0.67951178],[0.71548875],0.7113711282145232,[0.65336879],[0.65248227],0.716096299700439,[0.54875887],[0.59219858]
9,10,0.7345420736819506,[0.67391536],[0.7194329],0.7144305927213281,[0.63475177],[0.65602837],0.7173234364017844,[0.50975177],[0.58333333]
10,11,0.7322249468415976,[0.6710905],[0.72188466],0.7117400551214814,[0.63475177],[0.65425532],0.7148076547309756,[0.50975177],[0.59042553]
11,12,0.729844231158495,[0.67961838],[0.72657499],0.711201450554654,[0.65248227],[0.65602837],0.7133376637939364,[0.52748227],[0.59042553]
12,13,0.7277218978852034,[0.68814625],[0.73019934],0.7133667282760143,[0.65248227],[0.65070922],0.7144273100420833,[0.55939716],[0.58865248]
13,14,0.7263771053403616,[0.67967168],[0.73169172],0.7087244526483119,[0.64184397],[0.66134752],0.7102480931207538,[0.51684397],[0.59751773]
14,15,0.7232103478163481,[0.6985396],[0.73680844],0.7122612278908491,[0.64184397],[0.65070922],0.7119934093207121,[0.53812057],[0.60106383]
15,16,0.7207258082926273,[0.6985396],[0.73872721],0.7103121411055326,[0.64184397],[0.64716312],0.7093915787991136,[0.53812057],[0.61347518]
16,17,0.7187227886170149,[0.6985396],[0.74117898],0.7086004407610744,[0.64184397],[0.64539007],0.7072163657285273,[0.54875887],[0.61347518]
