,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.782463788986206,[0.60946197],[0.56586271],0.7994509339332581,[0.65070922],[0.54787234],0.7893340587615967,[0.62943262],[0.70212766]
1,2,0.6918772459030151,[0.63079777],[0.57884972],0.7489006519317627,[0.58156028],[0.52304965],0.7256228923797607,[0.69503546],[0.7251773]
2,3,0.7395937442779541,[0.64564007],[0.60296846],0.8159452080726624,[0.60283688],[0.53546099],0.7845901846885681,[0.59131206],[0.69326241]
3,4,0.7170518040657043,[0.68089054],[0.66419295],0.7957255244255066,[0.58156028],[0.55319149],0.7626562118530273,[0.64361702],[0.70744681]
4,5,0.6602991223335266,[0.69666048],[0.70500928],0.7269376516342163,[0.6391844],[0.58687943],0.6972167491912842,[0.64893617],[0.71099291]
5,6,0.6863327622413635,[0.71985158],[0.73654917],0.7406828999519348,[0.68173759],[0.62056738],0.714469313621521,[0.60815603],[0.7393617]
6,7,0.6871389746665955,[0.74025974],[0.75695733],0.7453447580337524,[0.68173759],[0.62765957],0.7180091738700867,[0.60815603],[0.73758865]
7,8,0.6458107233047485,[0.70500928],[0.75139147],0.717759907245636,[0.6391844],[0.62056738],0.6867579817771912,[0.59663121],[0.72163121]
8,9,0.6427988409996033,[0.71521336],[0.74953618],0.7303134202957153,[0.59840426],[0.59042553],0.6953700184822083,[0.6072695],[0.69680851]
9,10,0.6517913937568665,[0.7309833],[0.75881262],0.7500700950622559,[0.59751773],[0.57624113],0.7124665975570679,[0.58599291],[0.68085106]
10,11,0.6424055695533752,[0.74118738],[0.76437848],0.7425577640533447,[0.60638298],[0.57801418],0.7057185769081116,[0.59574468],[0.68971631]
11,12,0.6259088516235352,[0.75139147],[0.77736549],0.722876787185669,[0.62765957],[0.59751773],0.6884990334510803,[0.55407801],[0.70212766]
12,13,0.6188973784446716,[0.7309833],[0.78664193],0.7140335440635681,[0.64095745],[0.61879433],0.680732250213623,[0.58687943],[0.70744681]
13,14,0.6193481683731079,[0.75046382],[0.80705009],0.71628737449646,[0.63829787],[0.60992908],0.682704508304596,[0.54432624],[0.72163121]
14,15,0.6130882501602173,[0.78107607],[0.82931354],0.716834306716919,[0.6391844],[0.60638298],0.6822490692138672,[0.56560284],[0.72163121]
15,16,0.595943033695221,[0.78107607],[0.84415584],0.7132813334465027,[0.6285461],[0.59751773],0.6768421530723572,[0.56560284],[0.7287234]
16,17,0.5822652578353882,[0.80612245],[0.86085343],0.7189387679100037,[0.6072695],[0.57978723],0.6792242527008057,[0.55496454],[0.73049645]
17,18,0.5776407718658447,[0.82653061],[0.87569573],0.7336368560791016,[0.59840426],[0.57269504],0.6900472640991211,[0.56648936],[0.7251773]
18,19,0.566011905670166,[0.86734694],[0.8961039],0.7339677810668945,[0.57978723],[0.57624113],0.6890997886657715,[0.68351064],[0.72163121]
19,20,0.5470068454742432,[0.90816327],[0.93135436],0.7169479131698608,[0.6001773],[0.58333333],0.6742509007453918,[0.64095745],[0.7251773]
20,21,0.5436930656433105,[0.92857143],[0.93506494],0.7115580439567566,[0.6214539],[0.59929078],0.6721687912940979,[0.67287234],[0.72340426]
21,22,0.5364493727684021,[0.92857143],[0.93877551],0.7114413976669312,[0.6179078],[0.59042553],0.6731131076812744,[0.54521277],[0.72695035]
22,23,0.5200852155685425,[0.92857143],[0.94990724],0.7141606211662292,[0.6108156],[0.58510638],0.6741544604301453,[0.65159574],[0.72163121]
23,24,0.518859326839447,[0.91836735],[0.95361781],0.7309513092041016,[0.6108156],[0.57624113],0.6901578307151794,[0.66223404],[0.71631206]
24,25,0.5083016753196716,[0.91836735],[0.95361781],0.725933313369751,[0.58687943],[0.58333333],0.6884899735450745,[0.58776596],[0.70567376]
25,26,0.49937471747398376,[0.91836735],[0.95176252],0.7130818963050842,[0.59840426],[0.58510638],0.6802439093589783,[0.59840426],[0.69326241]
26,27,0.49713411927223206,[0.91836735],[0.9554731],0.7134803533554077,[0.61879433],[0.57624113],0.6836146116256714,[0.59840426],[0.68439716]
27,28,0.4841057360172272,[0.91836735],[0.96103896],0.717343807220459,[0.61968085],[0.56560284],0.6911444664001465,[0.65159574],[0.68617021]
28,29,0.4802239239215851,[0.93877551],[0.96474954],0.7315350770950317,[0.61968085],[0.56382979],0.7101931571960449,[0.65159574],[0.68262411]
29,30,0.4733474552631378,[0.93877551],[0.9703154],0.7315710783004761,[0.60904255],[0.57092199],0.7144185304641724,[0.64095745],[0.68085106]
30,31,0.46443483233451843,[0.93877551],[0.97402597],0.7199686765670776,[0.59840426],[0.56914894],0.7047978639602661,[0.59929078],[0.67553191]
31,32,0.4613913893699646,[0.93877551],[0.97402597],0.7157878875732422,[0.59840426],[0.56737589],0.7016392350196838,[0.59929078],[0.67021277]
32,33,0.4541730284690857,[0.93877551],[0.97402597],0.7168112397193909,[0.59751773],[0.56914894],0.7052361965179443,[0.58776596],[0.66666667]
33,34,0.4475852847099304,[0.96938776],[0.98330241],0.723920464515686,[0.60815603],[0.57092199],0.7155085802078247,[0.55585106],[0.65602837]
34,35,0.44421660900115967,[0.97959184],[0.9851577],0.7308153510093689,[0.58776596],[0.57092199],0.7242159843444824,[0.58865248],[0.65248227]
35,36,0.43816888332366943,[0.97959184],[0.98330241],0.7276175618171692,[0.59751773],[0.57446809],0.7214420437812805,[0.54521277],[0.64893617]
36,37,0.4324190616607666,[0.97959184],[0.98330241],0.7200977802276611,[0.59751773],[0.57269504],0.7136293649673462,[0.53546099],[0.64716312]
37,38,0.4289594292640686,[0.97959184],[0.98330241],0.7167897820472717,[0.59751773],[0.57624113],0.7103672623634338,[0.53546099],[0.64184397]
38,39,0.4237324893474579,[0.97959184],[0.98330241],0.7182701230049133,[0.58776596],[0.57446809],0.7131505012512207,[0.60992908],[0.64361702]
39,40,0.41858968138694763,[0.98979592],[0.9851577],0.7246026992797852,[0.58687943],[0.57446809],0.7213624715805054,[0.5248227],[0.65070922]
40,41,0.41541898250579834,[0.98979592],[0.9851577],0.7315540909767151,[0.58687943],[0.57801418],0.7297719120979309,[0.5141844],[0.64716312]
41,42,0.4115103781223297,[0.98979592],[0.9851577],0.7318128943443298,[0.59663121],[0.57801418],0.7311779260635376,[0.5035461],[0.64716312]
42,43,0.4076303541660309,[0.98979592],[0.9851577],0.726746141910553,[0.59663121],[0.57801418],0.7271721959114075,[0.5035461],[0.64893617]
43,44,0.40528157353401184,[0.98979592],[0.9851577],0.7232827544212341,[0.59663121],[0.57801418],0.7247568368911743,[0.5141844],[0.64361702]
44,45,0.4023456573486328,[0.98979592],[0.9851577],0.724472165107727,[0.59663121],[0.57269504],0.7272105813026428,[0.5248227],[0.64007092]
45,46,0.39904820919036865,[0.98979592],[0.9851577],0.7299588322639465,[0.59751773],[0.57446809],0.7338998317718506,[0.57801418],[0.64007092]
46,47,0.396684467792511,[0.98979592],[0.9851577],0.7356493473052979,[0.60815603],[0.57978723],0.7404859066009521,[0.56737589],[0.64361702]
47,48,0.39392122626304626,[0.98979592],[0.9851577],0.7357719540596008,[0.61879433],[0.57978723],0.7416093945503235,[0.58865248],[0.64361702]
48,49,0.39070868492126465,[0.98979592],[0.98701299],0.730567991733551,[0.61879433],[0.58156028],0.7376461625099182,[0.59929078],[0.63652482]
49,50,0.38816457986831665,[0.98979592],[0.98701299],0.7253576517105103,[0.61879433],[0.58865248],0.7336539030075073,[0.59929078],[0.63652482]
50,51,0.38560765981674194,[0.98979592],[0.98886827],0.7235708236694336,[0.61879433],[0.59397163],0.7330779433250427,[0.59929078],[0.63475177]
