,epoch,train_loss,train_BA,train_auroc,val_loss,val_BA,val_auroc,test_loss,test_BA,test_auroc
0,1,0.8294368982315063,[0.62962963],[0.60802469],0.8588579297065735,[0.59259259],[0.5462963],0.8641090989112854,[0.37407407],[0.30555556]
1,2,0.4806012511253357,[0.62962963],[0.55246914],0.620578944683075,[0.66111111],[0.61111111],0.631502628326416,[0.42962963],[0.43333333]
2,3,0.5540552735328674,[0.55555556],[0.41049383],0.809276819229126,[0.66111111],[0.63333333],0.8402765989303589,[0.52037037],[0.43888889]
3,4,0.6336705088615417,[0.51851852],[0.37037037],0.9253981113433838,[0.66111111],[0.63703704],0.9701682329177856,[0.50185185],[0.43518519]
4,5,0.6243805289268494,[0.50925926],[0.35493827],0.8939655423164368,[0.66111111],[0.64074074],0.9463456273078918,[0.50185185],[0.44259259]
5,6,0.5548457503318787,[0.50925926],[0.35185185],0.7583730816841125,[0.66481481],[0.64814815],0.813076376914978,[0.51111111],[0.45185185]
6,7,0.5033392310142517,[0.50925926],[0.36111111],0.6394973397254944,[0.69259259],[0.64259259],0.6864967942237854,[0.51111111],[0.45185185]
7,8,0.5025632977485657,[0.62962963],[0.44444444],0.611793041229248,[0.6462963],[0.61481481],0.6400452852249146,[0.46481481],[0.46481481]
8,9,0.5442098379135132,[0.64814815],[0.53395062],0.6342742443084717,[0.61666667],[0.59259259],0.6461924314498901,[0.48703704],[0.50925926]
9,10,0.5463656187057495,[0.64814815],[0.5462963],0.6367512941360474,[0.62592593],[0.59444444],0.6472212076187134,[0.43703704],[0.51481481]
10,11,0.509577751159668,[0.62962963],[0.49382716],0.6145170331001282,[0.60740741],[0.58888889],0.6358632445335388,[0.47777778],[0.48703704]
11,12,0.5039693713188171,[0.52777778],[0.39506173],0.6130812168121338,[0.61851852],[0.60185185],0.649249792098999,[0.47407407],[0.45555556]
12,13,0.5087347030639648,[0.50925926],[0.34567901],0.6155407428741455,[0.6462963],[0.61481481],0.6611950993537903,[0.50185185],[0.45740741]
13,14,0.5125038027763367,[0.50925926],[0.34259259],0.6168737411499023,[0.6462963],[0.61481481],0.6672040224075317,[0.51111111],[0.45740741]
14,15,0.5141220092773438,[0.50925926],[0.34567901],0.6174420714378357,[0.66481481],[0.61851852],0.6697918176651001,[0.51111111],[0.45555556]
15,16,0.5139296054840088,[0.50925926],[0.33950617],0.6176559329032898,[0.65555556],[0.61666667],0.6705161333084106,[0.51111111],[0.45740741]
16,17,0.512286365032196,[0.50925926],[0.33641975],0.6176862716674805,[0.6462963],[0.61481481],0.6699848175048828,[0.51111111],[0.45925926]
17,18,0.5095028877258301,[0.50925926],[0.33333333],0.6175719499588013,[0.6462963],[0.61111111],0.6682863235473633,[0.51111111],[0.46111111]
18,19,0.5059146881103516,[0.51851852],[0.34259259],0.6172677278518677,[0.6462963],[0.60740741],0.6651617884635925,[0.51111111],[0.45740741]
19,20,0.5019028782844543,[0.52777778],[0.35185185],0.6166688799858093,[0.6462963],[0.60925926],0.6600863933563232,[0.51111111],[0.4537037]
20,21,0.4979659914970398,[0.53703704],[0.37962963],0.6157031059265137,[0.63703704],[0.60925926],0.6525457501411438,[0.49259259],[0.45]
21,22,0.49505800008773804,[0.60185185],[0.45987654],0.614651620388031,[0.63518519],[0.5962963],0.6429378390312195,[0.46851852],[0.47592593]
22,23,0.49487096071243286,[0.67592593],[0.53703704],0.6145976185798645,[0.62592593],[0.57592593],0.6338940858840942,[0.47777778],[0.49814815]
23,24,0.4980255365371704,[0.71296296],[0.63271605],0.6165252327919006,[0.63518519],[0.56666667],0.629218339920044,[0.47777778],[0.52222222]
24,25,0.5001174211502075,[0.75925926],[0.67901235],0.6182484030723572,[0.63518519],[0.56296296],0.628929615020752,[0.52777778],[0.52962963]
25,26,0.4964806139469147,[0.75],[0.66049383],0.6168432831764221,[0.63518519],[0.56111111],0.6305938959121704,[0.47777778],[0.51666667]
26,27,0.49137943983078003,[0.68518519],[0.59259259],0.6147950887680054,[0.61666667],[0.57407407],0.635512113571167,[0.46851852],[0.48518519]
27,28,0.48928770422935486,[0.62962963],[0.54320988],0.6143456101417542,[0.60925926],[0.59074074],0.6430140733718872,[0.48333333],[0.46481481]
28,29,0.48920807242393494,[0.58333333],[0.5],0.6146925091743469,[0.62777778],[0.6037037],0.6496588587760925,[0.49259259],[0.44814815]
29,30,0.4891316294670105,[0.56481481],[0.47222222],0.6149526834487915,[0.63703704],[0.61296296],0.6537595391273499,[0.49259259],[0.45]
30,31,0.48803138732910156,[0.57407407],[0.48148148],0.6148293018341064,[0.6462963],[0.62222222],0.6552420854568481,[0.49259259],[0.45]
31,32,0.48562270402908325,[0.60185185],[0.5],0.6142410635948181,[0.64259259],[0.62592593],0.6543735861778259,[0.50185185],[0.44814815]
32,33,0.4823477268218994,[0.62962963],[0.54012346],0.613269031047821,[0.6462963],[0.62592593],0.6515855193138123,[0.46481481],[0.45]
33,34,0.47983604669570923,[0.63888889],[0.58641975],0.612473726272583,[0.63703704],[0.62037037],0.6482207179069519,[0.45555556],[0.45]
34,35,0.47956231236457825,[0.67592593],[0.64506173],0.6126351952552795,[0.63333333],[0.61481481],0.6466860175132751,[0.48333333],[0.44259259]
35,36,0.47818729281425476,[0.69444444],[0.66666667],0.6125540137290955,[0.63333333],[0.61666667],0.6474010348320007,[0.50185185],[0.42777778]
36,37,0.4721924960613251,[0.7037037],[0.66666667],0.6112528443336487,[0.64259259],[0.62592593],0.6494405269622803,[0.50185185],[0.42777778]
37,38,0.4648344814777374,[0.68518519],[0.65432099],0.6118627190589905,[0.66111111],[0.63148148],0.6543985605239868,[0.50185185],[0.43148148]
38,39,0.4569401741027832,[0.69444444],[0.65432099],0.6169732809066772,[0.67962963],[0.63518519],0.6630184054374695,[0.50185185],[0.43333333]
39,40,0.4457850158214569,[0.7037037],[0.68518519],0.6284970641136169,[0.67962963],[0.62777778],0.6758410930633545,[0.50185185],[0.42222222]
